apply	function_address	owner	field_offset	rendered_alias	assignment_address	expected_alias_type	element_type_path	descriptor_type_path	split_required	confidence	reason
1	0068EC70	AiTactClassTy	189	puVar13	0068ED01	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00BDDArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	0068F020	AiTactClassTy	165	puVar8	0068F08F	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	1	review	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
0	0068F020	AiTactClassTy	165	this_01	0068F228	pointer:/AiFltClassTy	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	1	review	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	0068F020	AiTactClassTy	189	puVar8		pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00BDDArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
0	0068F360	AiTactClassTy	165	pAVar8		pointer:/AiFltClassTy	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	1	review	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
0	0068FD00	AiTactClassTy	165	puVar6		pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	00690230	AiTactClassTy	165	puVar1	00690257	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	006902B0	AiTactClassTy	165	puVar1	006902D7	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	00690650	AiTactClassTy	165	puVar12	00690837	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	00690B90	AiTactClassTy	165	puVar7	00690D01	pointer:/undefined4	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00A5DArray	1	review	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00695F70	CGenerate	22611	pCVar1		pointer:/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	006964F0	CGenerate	22611	piVar5	00696527	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00696940	CGenerate	22611	piVar7		pointer:/int	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	00696DC0	CGenerate	22611	pAVar6	00696E2D	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_00696D00_CB3CB395	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	00696DC0	CGenerate	22611	piVar1	00696DF0	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	006971B0	CGenerate	22611	piVar3	0069724A	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	006975F0	CGenerate	22611	piStack_10	0069770B	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	006975F0	CGenerate	22611	piVar4	0069762F	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	006978C0	CGenerate	22611	piStack_8	00697903	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	006978C0	CGenerate	22611	piVar9	006979F3	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	006988C0	CGenerate	22611	pAStack_8	00698900	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_00697AF0_A94F4D28	/SubmarineTitans/Recovered/DArrayElements/CGenerate_field_5853Element	/SubmarineTitans/Recovered/DArraySpecializations/CGenerate_field_5853DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
