anonymous_type	category	length	defined_components	concrete_fields	meaningful_fields	function_targets	global_targets	field_targets	exact_named_candidates	compatible_named_candidates	automatic_named_type	match_status	usage_status
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_000C	class_pointee	8	2	0	0	0	0	1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element			exact_named_review	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_StartSystemTy_0544	class_pointee	12	2	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_00416270_02E6	class_pointee	32	4	3	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_0054A9B0_04E7	class_pointee	37	4	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_00573260_0004	class_pointee	132	4	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SubmarineTitans__Recovered__HiddenThis__RecoveredReceiver_006CEC40_0288	class_pointee	44	8	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_01F5	class_pointee	532	11	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_0291	class_pointee	72	3	3	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_0607	class_pointee	24	6	0	0	2	2	1		/mmsystem.h/tMIXERCONTROLDETAILS,/mmsystem.h/tagMIXERLINECONTROLSA,/winnt.h/_RTL_CRITICAL_SECTION		partial_named_review	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_061B	class_pointee	1468	3	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TradePanelTy_0000	class_pointee	20	4	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004EEFB0	hidden_this	8485	1	1	1	0	0	0				no_named_layout_match	unreferenced
/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004EEFB0VTable	hidden_this	44	11	11	11	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_006E1EE0	hidden_this	720	0	0	0	1	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_006EA050	hidden_this	800	0	0	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00416270	hidden_this	746	2	2	0	3	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004167A0	hidden_this	228	19	11	1	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004167A0VTable	hidden_this	20	5	5	5	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004248D0	hidden_this	988	14	7	0	17	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004603B0	hidden_this	2106	1	1	1	1	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004603B0VTable	hidden_this	28	7	7	7	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00493610	hidden_this	1571	6	6	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0053F510	hidden_this	8485	13	4	1	5	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0053F510VTable	hidden_this	44	11	11	11	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0054A9B0	hidden_this	1275	5	1	0	3	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0055C320	hidden_this	1608	2	1	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00567510	hidden_this	4341	10	5	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00568010	hidden_this	3983	10	0	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00568940	hidden_this	3983	3	0	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0056A130	hidden_this	3983	2	1	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00573260	hidden_this	8	2	1	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_005FDB50	hidden_this	567	3	1	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00601500	hidden_this	45	11	0	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0060EF40	hidden_this	746	56	34	0	4	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00636260	hidden_this	52	12	4	0	4	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00644410	hidden_this	648	19	6	0	5	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0064A970	hidden_this	136	3	2	1	8	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0064A970VTable	hidden_this	48	12	12	12	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0065DA50	hidden_this	130	3	0	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0065ED90	hidden_this	37	2	0	0	4	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00660180	hidden_this	171	4	0	0	3	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00664540	hidden_this	539	0	0	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00678E00	hidden_this	1689	7	4	0	3	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00693B20	hidden_this	12	3	0	0	4	0	0		/SoundPosition,/SubmarineTitans/Recovered/STPosition32,/unknwn.h/IUnknownVtbl,/winbase.h/_SECURITY_ATTRIBUTES,/wingdi.h/_ABC		partial_named_review	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_006CEC40	hidden_this	652	2	2	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_006F31D0	hidden_this	820	22	9	0	1	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00702510	hidden_this	756	17	9	0	1	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00714CE0	hidden_this	8	2	1	0	1	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00727C80	hidden_this	744	12	3	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00728640	hidden_this	64	7	4	0	2	0	0				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0040D540_0029_4E1A5CA3	pointer_shape	32	2	2	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00443F30_0839_FB957E77	pointer_shape	486	5	1	0	0	0	1				no_named_layout_match	referenced
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00491600_05A6_E75AEFE8	pointer_shape	52	2	0	0	0	0	1				no_named_layout_match	referenced
