apply	type_path	offset	size	proposed_name	proposed_type	evidence_count	reason
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20C0	3	4	field_0003	/undefined4	3	nested reads=4, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20C0	19	4	field_0013	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20C0	23	4	field_0017	/undefined4	2	nested reads=0, writes=2
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ComboTy_0104	4	4	field_0004	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ComboTy_0104	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ComboTy_0104	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ComboTy_0104	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CursorClassTy_049A	0	4	field_0000	/undefined4	2	nested reads=5, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CursorClassTy_049A	24	4	field_0018	/undefined4	1	nested reads=7, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CursorClassTy_049A	601	4	field_0259	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_0000	0	4	field_0000	/undefined4	1	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_0000	8	4	field_0008	/undefined4	3	nested reads=13, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_0031	8	4	field_0008	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_0031	20	4	field_0014	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A5B	48	4	field_0030	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A5B	52	4	field_0034	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A5B	320	4	field_0140	/undefined4	1	nested reads=0, writes=1
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A5B	742	4	field_02E6	/undefined4	8	nested reads=55, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A5B	1686	4	field_0696	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A73	92	4	field_005C	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A73	138	4	field_008A	/undefined4	2	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A73	160	4	field_00A0	/undefined4	2	nested reads=4, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A77	138	4	field_008A	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A77	160	4	field_00A0	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A97	4	4	field_0004	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A97	8	4	field_0008	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A97	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A97	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AC0	4	4	field_0004	/undefined4	12	nested reads=13, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AC0	8	4	field_0008	/undefined4	12	nested reads=13, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AC0	14	2	field_000E	/undefined2	11	nested reads=12, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AC0	20	4	field_0014	/undefined4	11	nested reads=12, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AE8	8	4	field_0008	/undefined4	1	nested reads=7, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AE8	20	4	field_0014	/undefined4	1	nested reads=8, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AEC	8	4	field_0008	/undefined4	1	nested reads=6, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AEC	20	4	field_0014	/undefined4	1	nested reads=6, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AF4	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AF4	20	4	field_0014	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AF8	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AF8	20	4	field_0014	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AFC	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1AFC	20	4	field_0014	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1B00	8	4	field_0008	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1B00	20	4	field_0014	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1B0C	0	1	field_0000	/undefined1	3	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1B0C	1	1	field_0001	/undefined1	3	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1EA2	8	4	field_0008	/undefined4	1	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1EA2	20	4	field_0014	/undefined4	1	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F23	2	1	field_0002	/undefined1	2	nested reads=0, writes=8
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F23	3	4	field_0003	/undefined4	3	nested reads=9, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F23	19	4	field_0013	/undefined4	1	nested reads=4, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F23	23	4	field_0017	/undefined4	2	nested reads=0, writes=8
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F27	2	1	field_0002	/undefined1	2	nested reads=0, writes=2
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F27	3	4	field_0003	/undefined4	3	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F27	19	4	field_0013	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F27	23	4	field_0017	/undefined4	2	nested reads=0, writes=2
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F2B	2	1	field_0002	/undefined1	2	nested reads=0, writes=4
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F2B	3	4	field_0003	/undefined4	3	nested reads=5, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F2B	19	4	field_0013	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F2B	23	4	field_0017	/undefined4	2	nested reads=0, writes=4
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F2F	2	1	field_0002	/undefined1	2	nested reads=0, writes=2
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F2F	3	4	field_0003	/undefined4	3	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F2F	19	4	field_0013	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1F2F	23	4	field_0017	/undefined4	2	nested reads=0, writes=2
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0068	4	4	field_0004	/undefined4	1	nested reads=1, writes=0
