function_address	enum_name	status	detail
004714D0	STBoatC_field_0580State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_0580State; field already uses enum
00471AC0	STBoatC_Guard_local_EAX_1296Enum	disabled	apply=0
00471AC0	STBoatC_Guard_local_EAX_2627Enum	disabled	apply=0
00471AC0	STBoatC_Guard_local_EAX_3345Enum	disabled	apply=0
00471AC0	STBoatC_Guard_local_EAX_3904Enum	disabled	apply=0
004732F0	STBoatC_field_0596State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_0596State; field already uses enum
004732F0	STBoatC_field_059AState	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_059AState; field already uses enum
004732F0	STBoatC_LoadObj_iVar10Enum	disabled	apply=0
004749C0	STBoatC_field_05C0State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_05C0State; field already uses enum
004749C0	STBoatC_field_05C4State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_05C4State; field already uses enum
004749C0	STBoatC_WaitLoad_iVar10Enum	disabled	apply=0
004758E0	STBoatC_field_05D6State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_05D6State; field already uses enum
004761B0	STBoatC_SetMine_local_EAX_44Enum	disabled	apply=0
00476CE0	STBoatC_field_0615State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_0615State; field already uses enum
00476CE0	STBoatC_Capture_local_EAX_51Enum	disabled	apply=0
00478030	STBoatC_field_0611State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_0611State; field already uses enum
00478640	STBoatC_Recharge_local_EAX_103Enum	disabled	apply=0
00478640	STBoatC_Recharge_local_EAX_1388Enum	disabled	apply=0
00479600	STBoatC_Teleport_local_EAX_1382Enum	disabled	apply=0
00479600	STBoatC_Teleport_local_EAX_56Enum	disabled	apply=0
0047BF70	STBoatC_BackTeleport_switch_0Enum	disabled	apply=0
0047C050	STBoatC_Bring_local_EAX_1049Enum	disabled	apply=0
0047C050	STBoatC_Bring_local_EAX_49Enum	disabled	apply=0
0047CF20	STBoatC_field_0687State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_0687State; field already uses enum
0047D080	STBoatC_field_06A5State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_06A5State; field already uses enum
0047DF00	STBoatC_Dismant_local_EAX_1031Enum	disabled	apply=0
0047DF00	STBoatC_Dismant_local_EAX_51Enum	disabled	apply=0
0047FAD0	STBoatC_field_06C3State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_06C3State; field already uses enum
0047FE10	STBoatC_field_06E3State	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_field_06E3State; field already uses enum
00480600	Global_sub_00480600_switch_0Enum	disabled	apply=0
004845E0	STBoatC_vfunc_28_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_vfunc_28_param_1Enum; parameter already uses enum
00486B60	Global_sub_00486B60_switch_0Enum	disabled	apply=0
00486E20	Global_sub_00486E20_switch_0Enum	disabled	apply=0
00486E20	Global_sub_00486E20_switch_1Enum	disabled	apply=0
00488890	STBoatC_vfunc_40_iVar8Enum	disabled	apply=0
004899A0	STBoatC_GetDefenceTarget_param_1Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_GetDefenceTarget_param_1Enum; parameter already uses enum
0048A910	RecoveredRecordView_0048A910_94DEC4B1_field_06F7State	disabled	apply=0
00491240	STBoatC_PrepareForLoading_switch_0Enum	disabled	apply=0
004919C0	STBoatC_GetCellForLoading_param_6Enum	unchanged	used equivalent /SubmarineTitans/Recovered/Enums/STBoatC_GetCellForLoading_param_6Enum; parameter already uses enum
00493D10	Global_sub_00493D10_switch_0Enum	disabled	apply=0
00496250	Global_sub_00496250_iVar6Enum	disabled	apply=0
00496250	Global_sub_00496250_iVar7Enum	disabled	apply=0
00496250	Global_sub_00496250_switch_0Enum	disabled	apply=0
