apply	owner	type_path	existing_length	observed_min_size	exact_allocation_size	proposed_length	field_count	auto_field_count	confidence	reason	evidence_functions
1	SettMapMTy	/SettMapMTy	1	8477		8477	5	5	high	observed_this_access_extent	005CD430 | 005CE0E0 | 005CFCD0 | 005CFF40 | 005D0150 | 005D06C0 | 005D0850 | 005D0A20 | 005D0BB0 | 005D0ED0 | 005D1100 | 005D1400
1	SettMapSTy	/SettMapSTy	1	8477		8477	3	3	high	observed_this_access_extent	005D5160 | 005D5560
1	SettMapTy	/SettMapTy	1	101		101	2	2	high	observed_this_access_extent	005C5130 | 005C8A40
0	SoundClassTy	/SoundClassTy	1	3983		3983	1	1	manual	insufficient_layout_anchors	00568DD0
1	SoundManagerTy	/SoundManagerTy	1	32		32	2	2	high	observed_this_access_extent	00566C20
1	SpecPanelTy	/SpecPanelTy	1	389		389	5	5	high	observed_this_access_extent	0053E920 | 0053EA50
1	SpriteClassTy	/SpriteClassTy	1	145		145	30	30	high	observed_this_access_extent	00715820 | 00715C60 | 00716040 | 00716480
1	StartSystemTy	/StartSystemTy	1	1718		1718	32	32	high	observed_this_access_extent	005DA610 | 005DCD90 | 005DE050
0	SystemClassTy	/SystemClassTy	32	28		28	7	7	manual	existing_manual_or_unowned_structure_preserved	006E51C0
1	SystemWithNamedObjClassTy	/SystemWithNamedObjClassTy	1	36		36	2	2	high	observed_this_access_extent	006E6100 | 006E6170
1	TLOBaseTy	/TLOBaseTy	1	1571		1571	15	15	high	observed_this_access_extent	004B7EF0 | 004BE500 | 004C9770 | 004D67B0
1	TLOFakeTy	/TLOFakeTy	1	593		593	3	3	high	observed_this_access_extent	004D0920
1	TradePanelTy	/TradePanelTy	1	444		444	5	5	high	observed_this_access_extent	00551460 | 00551690
0	TraksClassTy	/TraksClassTy	1	40		40	1	1	manual	insufficient_layout_anchors	00556760 | 00556DD0
1	UPanelTy	/UPanelTy	1	96		96	4	4	high	observed_this_access_extent	0053D7A0 | 0053D920 | 0053DAF0 | 0053DCC0
1	UpgPanelTy	/UpgPanelTy	1	376		376	4	4	high	observed_this_access_extent	00552AF0
0	VisibleClassTy	/VisibleClassTy	1	280		280	1	1	manual	insufficient_layout_anchors	005597A0 | 00559B30 | 00559EC0 | 0055A270 | 0055A620 | 0055A9D0 | 0055AB50
1	WaitTy	/WaitTy	1	101		101	2	2	high	observed_this_access_extent	005E84D0 | 005EA680
0	cLoadingTy	/cLoadingTy	1	64		64	1	1	manual	insufficient_layout_anchors	00555040
