function_address	status	detail
005FB640	applied	int __thiscall GetMessage(STContainerC * this, STMessage * message)
00601F80	applied	int __thiscall GetMessage(STDestC * this, STMessage * message)
00603740	applied	int __thiscall GetMessage(STExplosion * this, STMessage * message)
00617640	applied	int __thiscall GetMessage(JumpManagC * this, STMessage * message)
00618C00	applied	int __thiscall GetMessage(STJumpMineC * this, STMessage * message)
0061D190	applied	int __thiscall GetMessage(STLightC * this, STMessage * message)
0061F660	applied	int __thiscall GetMessage(SndUnderAttMenegC * this, STMessage * message)
00621B50	applied	int __thiscall GetMessage(STMineSetC * this, STMessage * message)
00627EB0	applied	int __thiscall GetMessage(STParticleC * this, STMessage * message)
0062CCA0	applied	int __thiscall GetMessage(STManRub3C * this, STMessage * message)
0062E740	applied	int __thiscall GetMessage(STRubbishC * this, STMessage * message)
00630430	applied	int __thiscall GetMessage(STManRuinC * this, STMessage * message)
006406D0	applied	int __thiscall GetMessage(STTorpC * this, STMessage * message)
006461E0	applied	int __thiscall GetMessage(STVolcanoC * this, STMessage * message)
00648030	disabled	already_typed
00652810	disabled	already_typed
00667D90	disabled	already_typed
0067C7E0	disabled	already_typed
00690B90	disabled	already_typed
006E5F00	applied	int __thiscall GetMessage(SystemClassTy * this, STMessage * message)
006E5FD0	applied	int __thiscall FUN_006e5fd0(void * this, STMessage * message)
0071CA50	applied	int __thiscall GetMessage(InputClassTy * this, STMessage * message)
0071CFD0	applied	int __thiscall GetMessage(ButtonClassTy * this, STMessage * message)
0071E0E0	applied	int __thiscall GetMessage(RadioClassTy * this, STMessage * message)
0071E8B0	applied	int __thiscall GetMessage(ViewerClassTy * this, STMessage * message)
0071F3A0	applied	int __thiscall GetMessage(ListClassTy * this, STMessage * message)
00722410	applied	int __thiscall GetMessage(EditorClassTy * this, STMessage * message)
00723420	applied	int __thiscall GetMessage(TabClassTy * this, STMessage * message)
007244B0	applied	int __thiscall GetMessage(SliderClassTy * this, STMessage * message)
00725020	applied	int __thiscall GetMessage(TrackbarClassTy * this, STMessage * message)
0072B780	applied	int __thiscall GetMessage(ControlClassTy * this, STMessage * message)
