type_apply	name_apply	repair	protected_override	function_address	expected_function	target_kind	target_ordinal	expected_target_name	expected_target_type	expected_target_source	proposed_name	proposed_type	confidence	evidence_sites	reason
0	0	0	0	0061FB70	SndUnderAttMenegC::sub_0061FB70	parameter	4	param_4	/undefined4	DEFAULT		/uint	review	0061F8B0 -> 0061FB70 @ 0061F948; SndUnderAttMenegC::sub_0061F8B0 parameter param_3	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00620160	SndUnderAttMenegC::sub_00620160	parameter	3	param_3	/undefined4	DEFAULT		/int	review	0061FE80 -> 00620160 @ 0061FED6; SndUnderAttMenegC::sub_0061FE80 parameter param_2	type_evidence={/int=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00620520	SndUnderAttMenegC::sub_00620520	parameter	4	param_4	/undefined4	DEFAULT		/uint	review	006202B0 -> 00620520 @ 0062032F; SndUnderAttMenegC::sub_006202B0 parameter param_4	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	006208B0	SndUnderAttMenegC::sub_006208B0	parameter	2	param_2	/undefined4	DEFAULT		/int	review	00620670 -> 006208B0 @ 006206C6; SndUnderAttMenegC::sub_00620670 parameter param_1	type_evidence={/int=1}; name_evidence={}; strong_evidence=0
0	0	0	0	006208B0	SndUnderAttMenegC::sub_006208B0	parameter	3	param_3	/undefined4	DEFAULT		/int	review	00620670 -> 006208B0 @ 006206C6; SndUnderAttMenegC::sub_00620670 parameter param_2	type_evidence={/int=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00620C50	SndUnderAttMenegC::sub_00620C50	parameter	4	param_4	/undefined4	DEFAULT		/uint	review	00620A00 -> 00620C50 @ 00620A56; SndUnderAttMenegC::sub_00620A00 parameter param_3	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00620DA0	SndUnderAttMenegC::sub_00620DA0	parameter	2	param_2	/undefined4	DEFAULT		/int	review	0061FE80 -> 00620DA0 @ 0061FFAF; SndUnderAttMenegC::sub_0061FE80 parameter param_2	type_evidence={/int=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00621090	SndUnderAttMenegC::sub_00621090	parameter	4	param_4	/undefined4	DEFAULT		/uint	review	00620E40 -> 00621090 @ 00620E95; SndUnderAttMenegC::sub_00620E40 parameter param_3	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00621430	SndUnderAttMenegC::sub_00621430	parameter	4	param_4	/undefined4	DEFAULT		/uint	review	006211E0 -> 00621430 @ 00621236; SndUnderAttMenegC::sub_006211E0 parameter param_3	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00629F90	STParticleC::sub_00629F90	parameter	2	param_2	/undefined4	DEFAULT		/uint	review	00627EB0 -> 00629F90 @ 00627F75; /STPlaySystemC+0xe4	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0062E170	FUN_0062e170	parameter	4	param_5	/undefined4	DEFAULT		/int	review	0062E240 -> 0062E170 @ 0062E335; FUN_0062e240 parameter param_5	type_evidence={/int=1}; name_evidence={}; strong_evidence=0
0	0	0	0	006308F0	STManRuinC::sub_006308F0	parameter	5	param_5	/undefined4	DEFAULT		/uint	review	00631510 -> 006308F0 @ 00631546; zeroed full register at 0063152C	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	006324C0	FUN_006324c0	parameter	2	param_2	/undefined4	DEFAULT		/SubmarineTitans/Recovered/Enums/Global_sub_00632030_param_1Enum	review	006324C0 -> 00632030 @ 006324DF	type_evidence={/SubmarineTitans/Recovered/Enums/Global_sub_00632030_param_1Enum=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00639500	FUN_00639500	parameter	1	param_1	/undefined4	DEFAULT		/uint	review	00638CA0 -> 00639500 @ 00638D0D; /STPlaySystemC+0xe4	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0063C030	FUN_0063c030	parameter	1	param_1	/undefined4	DEFAULT		/uint	review	00639C90 -> 0063C030 @ 00639D04; /STPlaySystemC+0xe4	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0065E9A0	FUN_0065e9a0	parameter	6	param_6	/undefined4	DEFAULT		/uint	review	00664960 -> 0065E9A0 @ 00666160; unproven partial register write at 00666132	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0065EB70	FUN_0065eb70	parameter	7	param_7	/undefined4	DEFAULT		/uint	review	00664960 -> 0065EB70 @ 006665A0; unproven partial register write at 00666573	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00660540	FUN_00660540	parameter	5	param_5	/undefined2	DEFAULT		/ushort	review	00664960 -> 00660540 @ 006653F2; unproven partial register write at 006653C7	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00660620	FUN_00660620	parameter	1	param_2	/undefined4	DEFAULT		/uint	review	00664960 -> 00660620 @ 00666AE9; unproven partial register write at 00666ADE	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00660F70	AiFltClassTy::sub_00660F70	parameter	2	param_2	/undefined2	DEFAULT		/short	review	00662240 -> 00660F70 @ 00663608; literal -1 at 00663603	type_evidence={/short=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0067CF30	FUN_0067cf30	parameter	1	param_2	/undefined2	DEFAULT		/ushort	review	00683C70 -> 0067CF30 @ 00685749; unproven partial register write at 00685739	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00680550	FUN_00680550	parameter	0	param_1	/undefined1	DEFAULT		/byte	review	00683C70 -> 00680550 @ 006855EF; unproven partial register write at 006855E7	type_evidence={/byte=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00690E90	FUN_00690e90	parameter	1	param_2	/undefined2	DEFAULT		/ushort	review	00683C70 -> 00690E90 @ 00685AA7; unproven partial register write at 00685A97	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00690E90	FUN_00690e90	parameter	2	param_3	/undefined2	DEFAULT		/ushort	review	00683C70 -> 00690E90 @ 00685AA7; unproven partial register write at 00685A90	type_evidence={/ushort=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00692C10	FUN_00692c10	parameter	2	param_3	pointer:/undefined4	DEFAULT		pointer:/uint	review	0069F5C0 -> 00692C10 @ 0069F60E; address of FUN_0069f5c0 parameter param_3	type_evidence={pointer:/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00695C10	CGenerate::sub_00695C10	parameter	4	param_4	/undefined4	DEFAULT		/int	review	00697390 -> 00695C10 @ 00697531; return of CGenerate::sub_00698CA0	type_evidence={/int=1}; name_evidence={}; strong_evidence=0
0	0	0	0	0069ECE0	FUN_0069ece0	parameter	2	param_2	/int	DEFAULT		pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00695010_96BA53C4	review	0069ECE0 -> 00695010 @ 0069EF91	type_evidence={pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_00695010_96BA53C4=1}; name_evidence={}; strong_evidence=0
0	0	0	0	006B8F10	FUN_006b8f10	parameter	0	param_1	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B8F10_41B61BA9	DEFAULT		pointer:/byte	review	006B8F10 -> 006B82E0 @ 006B90A4	type_evidence={pointer:/byte=1}; name_evidence={}; strong_evidence=0
0	0	0	0	006B9940	Library::DKW::DDX::FUN_006b9940	parameter	2	param_3	/undefined4	DEFAULT		/WinDef.h/HWND	review	006B9B20 -> 006B9940 @ 006B9B31; FUN_006b9b20 parameter param_2	type_evidence={/WinDef.h/HWND=1}; name_evidence={}; strong_evidence=0
0	0	0	0	006BA9E0	Library::DKW::DDX::FUN_006ba9e0	parameter	5	param_6	/undefined4	DEFAULT		/uint	review	005B3D60 -> 006BA9E0 @ 005B430E; zeroed full register at 005B427F	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	006BFB90	FUN_006bfb90	return		<RETURN>	/int	ANALYSIS		/WinDef.h/DWORD	review	006BFB90 returns forwarded through return of FUN_006bfe70 @ 006BFF22 | 006BFB90 returns forwarded through return of FUN_006bfe70 @ 006C0363 | 006BFB90 returns forwarded through return of FUN_006bfe70 @ 006C07DB	type_evidence={/WinDef.h/DWORD=3}; name_evidence={}; strong_evidence=3; machine_abi_target_preserved
