apply	function_address	expected_function	expected_signature	label_address	decompiler_label	existing_primary_name	existing_primary_source	proposed_name	kind	goto_count	cfg_incoming	back_edges_into	back_edges_from	confidence	reason	preview
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043963C	LAB_0043963c	LAB_0043963c	DEFAULT	cf_join_0043963C	join	1	4	0	0	medium	multi-predecessor target; semantic role requires review	0043963C MOV DX,word ptr [EDI + 0x32]; 00439640 MOV AL,byte ptr [EDI + 0x24]; 00439643 MOV ECX,dword ptr [EDI + 0x20]; 00439646 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439672	LAB_00439672	LAB_00439672	DEFAULT	cf_join_00439672	join	2	3	0	0	medium	multi-predecessor target; semantic role requires review	00439672 PUSH 0x1; 00439674 PUSH EBX; 00439675 MOV ECX,ESI; 00439677 CALL 0x00405920; calls=STAllPlayersC::PushTV|STAllPlayersC::ResetActivityFromTmp
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	004396D1	LAB_004396d1	LAB_004396d1	DEFAULT	cf_join_004396D1	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	004396D1 MOV AX,word ptr [EDI + 0x32]; 004396D5 MOV CL,byte ptr [EDI + 0x24]; 004396D8 MOV EDX,dword ptr [EDI + 0x20]; 004396DB MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439712	LAB_00439712	LAB_00439712	DEFAULT	cf_join_00439712	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00439712 PUSH 0x7a7868; 00439717 PUSH 0x7a4ccc; 0043971C PUSH 0x0; 0043971E PUSH 0x0; calls=ReportDebugMessage
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439740	LAB_00439740	LAB_00439740	DEFAULT	cf_join_00439740	join	1	4	0	0	medium	multi-predecessor target; semantic role requires review	00439740 MOV AX,word ptr [EDI + 0x32]; 00439744 MOV CL,byte ptr [EDI + 0x24]; 00439747 MOV EDX,dword ptr [EDI + 0x20]; 0043974A MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	004397FB	LAB_004397fb	LAB_004397fb	DEFAULT	cf_join_004397FB	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	004397FB MOV DX,word ptr [EDI + 0x32]; 004397FF MOV AL,byte ptr [EDI + 0x24]; 00439802 MOV ECX,dword ptr [EDI + 0x20]; 00439805 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	0043986A	LAB_0043986a	LAB_0043986a	DEFAULT	cf_join_0043986A	join	1	4	0	0	medium	multi-predecessor target; semantic role requires review	0043986A MOV DX,word ptr [EDI + 0x32]; 0043986E MOV AL,byte ptr [EDI + 0x24]; 00439871 MOV ECX,dword ptr [EDI + 0x20]; 00439874 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	004398E7	LAB_004398e7	LAB_004398e7	DEFAULT	cf_join_004398E7	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	004398E7 MOV AX,word ptr [EDI + 0x32]; 004398EB MOV CL,byte ptr [EDI + 0x24]; 004398EE MOV EDX,dword ptr [EDI + 0x20]; 004398F1 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439956	LAB_00439956	LAB_00439956	DEFAULT	cf_join_00439956	join	1	4	0	0	medium	multi-predecessor target; semantic role requires review	00439956 MOV AX,word ptr [EDI + 0x32]; 0043995A MOV CL,byte ptr [EDI + 0x24]; 0043995D MOV EDX,dword ptr [EDI + 0x20]; 00439960 MOV EBX,dword ptr [EBP + -0x4]; calls=STAllPlayersC::CheckTmps
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439986	LAB_00439986	LAB_00439986	DEFAULT	cf_join_00439986	join	2	3	0	0	medium	multi-predecessor target; semantic role requires review	00439986 PUSH 0x1; 00439988 PUSH EBX; 00439989 MOV ECX,ESI; 0043998B CALL 0x00405920; calls=STAllPlayersC::PushTV
0	00439100	STAllPlayersC::RestoreTmp	undefined __thiscall RestoreTmp(STAllPlayersC * this, int param_1)	00439AAA	LAB_00439aaa	LAB_00439aaa	DEFAULT	cf_join_00439AAA	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	00439AAA MOV EAX,dword ptr [EDI + 0xa]; 00439AAD MOV ECX,dword ptr [EAX + 0x1c]; 00439AB0 MOV AL,byte ptr [EDI + 0x4]; 00439AB3 MOV DX,word ptr [ECX]
