apply	owner	parent_offset	type_path	length	field_count	access_count	confidence	reason
0	SIDTy	7372	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SIDTy_1CCC	24	2	16	review	multiple non-overlapping fixed offsets through one class pointer field
0	SIDTy	7376	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_SIDTy_1CD0	24	2	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	ST3DSMAPContext	0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0000	568	3	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	ST3DSMAPContext	4	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0004	32	3	5	review	multiple non-overlapping fixed offsets through one class pointer field
0	ST3DSMAPContext	796	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_031C	275	9	52	review	multiple non-overlapping fixed offsets through one class pointer field
0	ST3DSMAPContext	856	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0358	1056	17	43	review	multiple non-overlapping fixed offsets through one class pointer field
0	ST3DSMAPContext	1056	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0420	4	3	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	ST3DSMAPContext	1090	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0442	24	5	9	review	multiple non-overlapping fixed offsets through one class pointer field
0	ST3DSMAPContext	1094	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0446	13	2	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	ST3DSMAPContext	1098	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044A	13	2	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	ST3DSMAPContext	1102	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044E	21	6	30	review	multiple non-overlapping fixed offsets through one class pointer field
0	ST3DSMAPContext	1106	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0452	28	6	34	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAllPlayersC	397	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D	16	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAllPlayersC	401	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0191	16	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAllPlayersC	405	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0195	20	6	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAllPlayersC	409	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0199	20	6	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAllPlayersC	421	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A5	12	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAllPlayersC	425	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A9	12	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAllPlayersC	429	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	12	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAllPlayersC	433	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B1	12	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAllPlayersC	437	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B5	12	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAllPlayersC	441	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B9	12	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	STAppC	4442	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A	8	2	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	STBHEShellC	243	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STBHEShellC_00F3	256	7	7	review	multiple non-overlapping fixed offsets through one class pointer field
0	STBoatC	151	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STBoatC_0097	14	3	3	review	multiple non-overlapping fixed offsets through one class pointer field
0	STColl3C	742	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STColl3C_02E6	96	4	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	STGameObjC	405	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_0195	20	6	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	STGameObjC	409	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_0199	20	6	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	STGameObjC	429	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01AD	12	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
