apply	action	type_path	replacement_path	expected_replacement	expected_length	expected_parents	expected_function_uses	expected_listing_uses	expected_description	reason
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0195			20	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=6967b35026a7a0d03d069d308a63d4d3c6fc72d6e2636a9fb2256c3656bed4e8	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0195 *32			4	1	0	0	32-bit pointer to AnonPointee_STAllPlayersC_0195	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0199			20	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=6967b35026a7a0d03d069d308a63d4d3c6fc72d6e2636a9fb2256c3656bed4e8	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0199 *32			4	1	0	0	32-bit pointer to AnonPointee_STAllPlayersC_0199	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A5			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=b74e982e5822cc2a69baba51192095f47634dc20a5651a78a1d10b49270d95ac	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A5 *32			4	1	0	0	32-bit pointer to AnonPointee_STAllPlayersC_01A5	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A9			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=b74e982e5822cc2a69baba51192095f47634dc20a5651a78a1d10b49270d95ac	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A9 *32			4	1	0	0	32-bit pointer to AnonPointee_STAllPlayersC_01A9	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=57034f70f3a115cf23f7b25f84c5d4d2296629de53af53b3be8c42f60fe7c8ff	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD *32			4	1	0	0	32-bit pointer to AnonPointee_STAllPlayersC_01AD	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B1			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=57034f70f3a115cf23f7b25f84c5d4d2296629de53af53b3be8c42f60fe7c8ff	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B1 *32			4	1	0	0	32-bit pointer to AnonPointee_STAllPlayersC_01B1	still referenced
