address	status	proposed_name	detail
0065D6A0	applied	AiFltClassTy::sub_0065D6A0	owner=applied(AiFltClassTy::sub_0065D6A0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0065D6E0	partial	AiFltClassTy::sub_0065D6E0	owner=applied(AiFltClassTy::sub_0065D6E0); this_type=conflict(no auto this parameter)
0065D720	partial	AiFltClassTy::sub_0065D720	owner=applied(AiFltClassTy::sub_0065D720); this_type=conflict(no auto this parameter)
0065D940	disabled	AiFltClassTy::sub_0065D940	all apply flags are 0
0065D9C0	disabled	AiFltClassTy::sub_0065D9C0	all apply flags are 0
0065DA10	partial	AiFltClassTy::sub_0065DA10	owner=applied(AiFltClassTy::sub_0065DA10); this_type=conflict(no auto this parameter)
0065E360	partial	AiFltClassTy::sub_0065E360	owner=applied(AiFltClassTy::sub_0065E360); this_type=conflict(no auto this parameter)
0065E3B0	disabled	AiFltClassTy::sub_0065E3B0	all apply flags are 0
0065E6C0	disabled	AiFltClassTy::sub_0065E6C0	all apply flags are 0
0065E700	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0065ED90::sub_0065E700	all apply flags are 0
0065F5C0	applied	AiFltClassTy::sub_0065F5C0	owner=applied(AiFltClassTy::sub_0065F5C0); this_type=unchanged
0065F980	applied	AiFltClassTy::sub_0065F980	owner=applied(AiFltClassTy::sub_0065F980); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0065FA60	applied	AiFltClassTy::sub_0065FA60	owner=applied(AiFltClassTy::sub_0065FA60); this_type=unchanged
00660F70	applied	AiFltClassTy::sub_00660F70	owner=applied(AiFltClassTy::sub_00660F70); this_type=unchanged
00661580	applied	AiFltClassTy::sub_00661580	owner=applied(AiFltClassTy::sub_00661580); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
00661800	partial	AiFltClassTy::sub_00661800	owner=applied(AiFltClassTy::sub_00661800); this_type=conflict(no auto this parameter)
00661CA0	partial	AiFltClassTy::sub_00661CA0	owner=applied(AiFltClassTy::sub_00661CA0); this_type=conflict(no auto this parameter)
00664760	applied	AiFltClassTy::sub_00664760	owner=applied(AiFltClassTy::sub_00664760); parameters=applied(no explicit parameters); convention=applied(__thiscall)
00664960	applied	AiFltClassTy::sub_00664960	owner=applied(AiFltClassTy::sub_00664960)
00668F50	applied	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0064A970::sub_00668F50	owner=applied(SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0064A970::sub_00668F50); this_type=unchanged
00671F10	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_0064A970::sub_00671F10	all apply flags are 0
00674FB0	disabled	AiFltClassTy::sub_00674FB0	all apply flags are 0
00678BA0	disabled	AiPlrClassTy::sub_00678BA0	all apply flags are 0
00678E00	disabled		all apply flags are 0
00678FC0	applied	AiPlrClassTy::sub_00678FC0	owner=applied(AiPlrClassTy::sub_00678FC0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0067A240	applied	AiPlrClassTy::sub_0067A240	owner=applied(AiPlrClassTy::sub_0067A240); this_type=unchanged
0067B1A0	disabled	AiPlrClassTy::sub_0067B1A0	all apply flags are 0
0067B2E0	disabled	AiPlrClassTy::sub_0067B2E0	all apply flags are 0
0067BE20	disabled	AiPlrClassTy::sub_0067BE20	all apply flags are 0
0067BFD0	applied	AiPlrClassTy::sub_0067BFD0	owner=applied(AiPlrClassTy::sub_0067BFD0); this_type=unchanged
0067C110	applied	AiPlrClassTy::sub_0067C110	owner=applied(AiPlrClassTy::sub_0067C110); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0068E010	applied	AiTactClassTy::sub_0068E010	owner=applied(AiTactClassTy::sub_0068E010); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0068E220	disabled	AiTactClassTy::sub_0068E220	all apply flags are 0
0068E290	applied	AiTactClassTy::sub_0068E290	owner=applied(AiTactClassTy::sub_0068E290); this_type=unchanged
0068E480	applied	AiTactClassTy::sub_0068E480	owner=applied(AiTactClassTy::sub_0068E480); this_type=unchanged
0068E610	applied	AiTactClassTy::sub_0068E610	owner=applied(AiTactClassTy::sub_0068E610); this_type=unchanged
0068E850	disabled	AiTactClassTy::sub_0068E850	all apply flags are 0
0068E8C0	disabled	AiTactClassTy::sub_0068E8C0	all apply flags are 0
00690230	applied	AiTactClassTy::sub_00690230	owner=applied(AiTactClassTy::sub_00690230); this_type=unchanged
006902B0	applied	AiTactClassTy::sub_006902B0	owner=applied(AiTactClassTy::sub_006902B0); this_type=unchanged
