kind	address	status	name	detail
table	0079D05C	already_present	VTable_0079D05C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D05C; 1 slots
table	0079D084	already_present	STManRub3CVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STManRub3CVTable; 1 slots
owner_vptr	STManRub3C+0x0	already_present	STManRub3C	owner already points to /SubmarineTitans/Recovered/VTables/STManRub3CVTable
table	0079D098	already_present	STRubbishCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STRubbishCVTable; 53 slots
owner_vptr	STRubbishC+0x0	already_present	STRubbishC	owner already points to /SubmarineTitans/Recovered/VTables/STRubbishCVTable
table	0079D19C	already_present	STManRuinCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STManRuinCVTable; 1 slots
owner_vptr	STManRuinC+0x0	already_present	STManRuinC	owner already points to /SubmarineTitans/Recovered/VTables/STManRuinCVTable
table	0079D1D8	already_present	VTable_0079D1D8	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D1D8; 73 slots
table	0079D338	already_present	VTable_0079D338	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D338; 1 slots
table	0079D33C	already_present	VTable_0079D33C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D33C; 73 slots
table	0079D49C	already_present	VTable_0079D49C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D49C; 1 slots
table	0079D4B0	skipped	VTable_0079D4B0	apply=0; layout_apply=0
table	0079D588	skipped	VTable_0079D588	apply=0; layout_apply=0
table	0079D610	already_present	STVolcanoCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STVolcanoCVTable; 1 slots
owner_vptr	STVolcanoC+0x0	already_present	STVolcanoC	owner already points to /SubmarineTitans/Recovered/VTables/STVolcanoCVTable
table	0079D618	already_present	AiBossClassTyVTable_at_1C	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C; 13 slots
owner_vptr	AiBossClassTy+0x1C	already_present	AiBossClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C
table	0079D658	already_present	AiBossClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiBossClassTyVTable; 1 slots
owner_vptr	AiBossClassTy+0x0	already_present	AiBossClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiBossClassTyVTable
table	0079D67C	already_present	VTable_0079D67C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079D67C; 13 slots
table	0079D6BC	already_present	AiFltClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiFltClassTyVTable; 1 slots
owner_vptr	AiFltClassTy+0x0	already_present	AiFltClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiFltClassTyVTable
table	0079D6D4	updated	AiPlrClassTyVTable_at_1C	updated unchanged-since-apply generated type /SubmarineTitans/Recovered/VTables/AiPlrClassTyVTable_at_1C; 13 slots
owner_vptr	AiPlrClassTy+0x1C	already_present	AiPlrClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiPlrClassTyVTable_at_1C
table	0079D714	already_present	AiPlrClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiPlrClassTyVTable; 1 slots
owner_vptr	AiPlrClassTy+0x0	already_present	AiPlrClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiPlrClassTyVTable
table	0079D76C	already_present	AiTactClassTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/AiTactClassTyVTable; 1 slots
owner_vptr	AiTactClassTy+0x0	already_present	AiTactClassTy	owner already points to /SubmarineTitans/Recovered/VTables/AiTactClassTyVTable
table	0079DAF0	already_present	VTable_0079DAF0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DAF0; 5 slots
table	0079DB04	already_present	VTable_0079DB04	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079DB04; 9 slots
