type_path	type_name	owner	provenance	length	defined_components	usage_functions	merge_apply	rejection_reason
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_0291	AnonPointee_TLOBaseTy_0291	TLOBaseTy+0x0291	class_field_pointee	72	3		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_0607	AnonPointee_TLOBaseTy_0607	TLOBaseTy+0x0607	class_field_pointee	24	6		0	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TLOBaseTy_061B	AnonPointee_TLOBaseTy_061B	TLOBaseTy+0x061B	class_field_pointee	1468	3		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_TradePanelTy_0000	AnonPointee_TradePanelTy_0000	TradePanelTy+0x0000	class_field_pointee	20	4		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004EEFB0	AnonReceiver_004EEFB0	004EEFB0	function_local_or_parameter_shape	8485	1		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004EEFB0VTable	AnonReceiver_004EEFB0VTable	AnonReceiver_004EEFB0VTable	hidden_this_receiver_shape	44	11		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_006E1EE0	AnonReceiver_006E1EE0	006E1EE0	function_local_or_parameter_shape	720	0		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_006EA050	AnonReceiver_006EA050	006EA050	function_local_or_parameter_shape	800	0		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00416270	RecoveredReceiver_00416270	00416270	function_local_or_parameter_shape	746	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004167A0	RecoveredReceiver_004167A0	004167A0	function_local_or_parameter_shape	228	19		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004167A0VTable	RecoveredReceiver_004167A0VTable	RecoveredReceiver_004167A0VTable	hidden_this_receiver_shape	20	5		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004248D0	RecoveredReceiver_004248D0	004248D0	function_local_or_parameter_shape	988	14		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004603B0	RecoveredReceiver_004603B0	004603B0	function_local_or_parameter_shape	2106	1		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004603B0VTable	RecoveredReceiver_004603B0VTable	RecoveredReceiver_004603B0VTable	hidden_this_receiver_shape	28	7		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00493610	RecoveredReceiver_00493610	00493610	function_local_or_parameter_shape	1571	6		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0053F510	RecoveredReceiver_0053F510	0053F510	function_local_or_parameter_shape	8485	13		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0053F510VTable	RecoveredReceiver_0053F510VTable	RecoveredReceiver_0053F510VTable	hidden_this_receiver_shape	44	11		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0054A9B0	RecoveredReceiver_0054A9B0	0054A9B0	function_local_or_parameter_shape	1275	5		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0055C320	RecoveredReceiver_0055C320	0055C320	function_local_or_parameter_shape	1608	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00567510	RecoveredReceiver_00567510	00567510	function_local_or_parameter_shape	4341	10		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00568010	RecoveredReceiver_00568010	00568010	function_local_or_parameter_shape	3983	10		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00568940	RecoveredReceiver_00568940	00568940	function_local_or_parameter_shape	3983	3		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0056A130	RecoveredReceiver_0056A130	0056A130	function_local_or_parameter_shape	3983	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00573260	RecoveredReceiver_00573260	00573260	function_local_or_parameter_shape	8	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_005FDB50	RecoveredReceiver_005FDB50	005FDB50	function_local_or_parameter_shape	567	3		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00601500	RecoveredReceiver_00601500	00601500	function_local_or_parameter_shape	45	11		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0060EF40	RecoveredReceiver_0060EF40	0060EF40	function_local_or_parameter_shape	746	56		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00636260	RecoveredReceiver_00636260	00636260	function_local_or_parameter_shape	52	12		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00644410	RecoveredReceiver_00644410	00644410	function_local_or_parameter_shape	648	19		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0064A970	RecoveredReceiver_0064A970	0064A970	function_local_or_parameter_shape	136	3		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0064A970VTable	RecoveredReceiver_0064A970VTable	RecoveredReceiver_0064A970VTable	hidden_this_receiver_shape	48	12		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0065DA50	RecoveredReceiver_0065DA50	0065DA50	function_local_or_parameter_shape	130	3		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0065ED90	RecoveredReceiver_0065ED90	0065ED90	function_local_or_parameter_shape	37	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00660180	RecoveredReceiver_00660180	00660180	function_local_or_parameter_shape	171	4		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00664540	RecoveredReceiver_00664540	00664540	function_local_or_parameter_shape	539	0		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00678E00	RecoveredReceiver_00678E00	00678E00	function_local_or_parameter_shape	1689	7		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00693B20	RecoveredReceiver_00693B20	00693B20	function_local_or_parameter_shape	12	3		0	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false; anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_006CEC40	RecoveredReceiver_006CEC40	006CEC40	function_local_or_parameter_shape	652	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_006F31D0	RecoveredReceiver_006F31D0	006F31D0	function_local_or_parameter_shape	820	22		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00702510	RecoveredReceiver_00702510	00702510	function_local_or_parameter_shape	756	17		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00714CE0	RecoveredReceiver_00714CE0	00714CE0	function_local_or_parameter_shape	8	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00727C80	RecoveredReceiver_00727C80	00727C80	function_local_or_parameter_shape	744	12		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00728640	RecoveredReceiver_00728640	00728640	function_local_or_parameter_shape	64	7		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0040D540_0029_4E1A5CA3	AnonNested_0040D540_0029_4E1A5CA3	0040D540	function_local_or_parameter_shape	32	2	0040D540	0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00443F30_0839_FB957E77	AnonNested_00443F30_0839_FB957E77	00443F30	function_local_or_parameter_shape	486	5	00443F30	0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00491600_05A6_E75AEFE8	AnonNested_00491600_05A6_E75AEFE8	00491600	function_local_or_parameter_shape	52	2	00491600	0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/PointerShapes/AnonNested_004D0670_01F5_FCC3211A	AnonNested_004D0670_01F5_FCC3211A	004D0670	function_local_or_parameter_shape	348	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EC2A0_01F5_BFE69187	AnonNested_004EC2A0_01F5_BFE69187	004EC2A0	function_local_or_parameter_shape	348	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EE350_0018_78690378	AnonNested_004EE350_0018_78690378	004EE350	function_local_or_parameter_shape	8	2	004EE350	0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EF5F0_0014_2E827CED	AnonNested_004EF5F0_0014_2E827CED	004EF5F0	function_local_or_parameter_shape	12	3	004EF5F0	0	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false; anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00521CF0_0198_99A2701C	AnonNested_00521CF0_0198_99A2701C	00521CF0	function_local_or_parameter_shape	24	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/PointerShapes/AnonNested_00521CF0_0198_ED218B19	AnonNested_00521CF0_0198_ED218B19	00521CF0	function_local_or_parameter_shape	24	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A430_0014_F40A3334	AnonNested_0052A430_0014_F40A3334	0052A430	function_local_or_parameter_shape	12	3	0052A430	0	exact layout has semantic_anchor_count=0 among named structures=[/SoundPosition, /SubmarineTitans/Recovered/STPosition32]
