address	name	current_type	raw_target	classification	target_name	target_data_type	pointee	anonymous_pointee	script_owned	evidence_sites	proposed_type	type_apply
0079AD04	PTR_s_SAVE_DESC_0079ad04	/pointer	007C7058	string_pointer	s_SAVE_DESC_007c7058	/string		0	0	0		0
0079ADE4	PTR_s_SAVEGAME\\_0079ade4	/pointer	007C7094	string_pointer	s_SAVEGAME\\_007c7094	/string		0	0	0		0
0079ADE8	PTR_s_SAVE_QUICKSAVE_0079ade8	/pointer	007C7D4C	string_pointer	s_SAVE_QUICKSAVE_007c7d4c	/string		0	0	0		0
0079ADEC	PTR_s_SAVE_DESC_0079adec	/pointer	007C7058	string_pointer	s_SAVE_DESC_007c7058	/string		0	0	0		0
0079AE2C	PTR_s_LAST_NAME_0079ae2c	/pointer	007C8410	string_pointer	s_LAST_NAME_007c8410	/string		0	0	0		0
0079AE30	PTR_DAT_0079ae30	/pointer	007C8408	initialized_data_pointer	DAT_007c8408			0	0	0		0
0079AEBC	PTR_s_TRACKS_0079aebc	/pointer	007C90FC	string_pointer	s_TRACKS_007c90fc	/string		0	0	0		0
0079AEC4	PTR_s_VISIBILITY_0079aec4	/pointer	007C92BC	string_pointer	s_VISIBILITY_007c92bc	/string		0	0	0		0
0079AEC8	PTR_DAT_0079aec8	/pointer	007C92B4	initialized_data_pointer	DAT_007c92b4			0	0	0		0
0079AECC	PTR_DAT_0079aecc	/pointer	007C92AC	initialized_data_pointer	DAT_007c92ac			0	0	0		0
0079AEF0	PTR_s_UPDATES\\_0079aef0	/pointer	007C94C0	string_pointer	s_UPDATES\\_007c94c0	/string		0	0	0		0
0079AEF4	PTR_s_ST.INF_0079aef4	/pointer	007C94B8	string_pointer	s_ST.INF_007c94b8	/string		0	0	0		0
0079AF6C	PTR_s_PLT_MMGLASS_0079af6c	/pointer	007C958C	string_pointer	s_PLT_MMGLASS_007c958c	/string		0	0	0		0
0079AF70	PTR_s_PLT_PAUSE_0079af70	/pointer	007C9580	string_pointer	s_PLT_PAUSE_007c9580	/string		0	0	0		0
0079AF74	PTR_s_PLT_EXPLITE_0079af74	/pointer	007C9570	string_pointer	s_PLT_EXPLITE_007c9570	/string		0	0	0		0
0079AF78	PTR_s_PLT_SHAD30_0079af78	/pointer	007C9560	string_pointer	s_PLT_SHAD30_007c9560	/string		0	0	0		0
0079AF7C	PTR_s_PLT_SHAD40_0079af7c	/pointer	007C9550	string_pointer	s_PLT_SHAD40_007c9550	/string		0	0	0		0
0079AF80	PTR_s_PLT_SHAD60_0079af80	/pointer	007C9540	string_pointer	s_PLT_SHAD60_007c9540	/string		0	0	0		0
0079AF84	PTR_s_PLT_FOG_0079af84	/pointer	007C9534	string_pointer	s_PLT_FOG_007c9534	/string		0	0	0		0
0079AF88	PTR_s_PLT_MMSHAD_0079af88	/pointer	007C9524	string_pointer	s_PLT_MMSHAD_007c9524	/string		0	0	0		0
0079AF8C	PTR_s_PLT_NUCL_0079af8c	/pointer	007C9518	string_pointer	s_PLT_NUCL_007c9518	/string		0	0	0		0
0079AF90	PTR_s_PLT_GLOW_0079af90	/pointer	007C950C	string_pointer	s_PLT_GLOW_007c950c	/string		0	0	0		0
0079AF94	PTR_s_PLT_DKD_0079af94	/pointer	007C9500	string_pointer	s_PLT_DKD_007c9500	/string		0	0	0		0
0079AF98	PTR_s_PLT_FSGSGLASS_0079af98	/pointer	007C94F0	string_pointer	s_PLT_FSGSGLASS_007c94f0	/string		0	0	0		0
0079AF9C	PTR_s_PLT_FSGSSHAD_0079af9c	/pointer	007C94E0	string_pointer	s_PLT_FSGSSHAD_007c94e0	/string		0	0	0		0
0079B00C	PTR_s_music_0079b00c	/pointer	007C9740	string_pointer	s_music_007c9740	/string		0	0	0		0
0079B010	PTR_s_GM_SET_0079b010	/pointer	007C9738	string_pointer	s_GM_SET_007c9738	/string		0	0	0		0
0079B014	PTR_s_GM_PEACE_0079b014	/pointer	007C972C	string_pointer	s_GM_PEACE_007c972c	/string		0	0	0		0
0079B018	PTR_s_GM_PWAR_0079b018	/pointer	007C9720	string_pointer	s_GM_PWAR_007c9720	/string		0	0	0		0
0079B01C	PTR_s_GM_WAR_0079b01c	/pointer	007C9718	string_pointer	s_GM_WAR_007c9718	/string		0	0	0		0
0079B028	PTR_s_sounds_0079b028	/pointer	007C97E8	string_pointer	s_sounds_007c97e8	/string		0	0	0		0
0079B02C	PTR_s_SAVEGAME\\_0079b02c	/pointer	007C7094	string_pointer	s_SAVEGAME\\_007c7094	/string		0	0	0		0
0079B030	PTR_s_SYSTEM\\_0079b030	/pointer	007C7088	string_pointer	s_SYSTEM\\_007c7088	/string		0	0	0		0
0079B034	PTR_DAT_0079b034	/pointer	007C7080	initialized_data_pointer	DAT_007c7080	/undefined1		0	0	0		0
0079B038	PTR_DAT_0079b038	/pointer	007C7078	initialized_data_pointer	DAT_007c7078	/undefined1		0	0	0		0
0079B03C	PTR_s_CAMPAIGN.VPS_0079b03c	/pointer	007CA094	string_pointer	s_CAMPAIGN.VPS_007ca094	/string		0	0	0		0
0079B040	PTR_s_STARTUP.VPS_0079b040	/pointer	007CA084	string_pointer	s_STARTUP.VPS_007ca084	/string		0	0	0		0
0079B044	PTR_s_SAVE_QUICKSAVE_0079b044	/pointer	007C7D4C	string_pointer	s_SAVE_QUICKSAVE_007c7d4c	/string		0	0	0		0
0079B048	PTR_s_TASKS_0079b048	/pointer	007CA07C	string_pointer	s_TASKS_007ca07c	/string		0	0	0		0
0079B04C	PTR_s_STRATEGS_0079b04c	/pointer	007C706C	string_pointer	s_STRATEGS_007c706c	/string		0	0	0		0
0079B050	PTR_DAT_0079b050	/pointer	007C7064	initialized_data_pointer	DAT_007c7064	/undefined1		0	0	0		0
0079B054	PTR_s_SAVE_DESC_0079b054	/pointer	007C7058	string_pointer	s_SAVE_DESC_007c7058	/string		0	0	0		0
0079B058	PTR_s_SAVE_PLAYER_0079b058	/pointer	007CA06C	string_pointer	s_SAVE_PLAYER_007ca06c	/string		0	0	0		0
