value_hex	value_decimal	known_names	handler_count	handlers
0x11F	287	MESS_STSPRGAMEOBJC_011F	1	0041E530 STSprGameObjC::GetMessage
0x120	288	MESS_STSPRGAMEOBJC_0120	1	0041E530 STSprGameObjC::GetMessage
0x121	289	MESS_SHARED_0121	2	0044EE30 STBoatC::GetMessage | 004B9FA0 TLOBaseTy::GetMessage
0x122	290	MESS_SHARED_0122	3	0044EE30 STBoatC::GetMessage | 004B9FA0 TLOBaseTy::GetMessage | 004D55B0 TLOEmbryoTy::GetMessage
0x123	291	MESS_TLOBASETY_0123	1	004B9FA0 TLOBaseTy::GetMessage
0x124	292	MESS_STJELLYMANC_0124	1	00581BF0 STJellyManC::GetMessage
0x125	293	MESS_STJELLYMANC_0125	1	00581BF0 STJellyManC::GetMessage
0x127	295	MESS_STOCTOPUSC_0127	1	00589C10 STOctopusC::GetMessage
0x128	296	MESS_HITKILL	12	0044EE30 STBoatC::GetMessage | 004B9FA0 TLOBaseTy::GetMessage | 004D55B0 TLOEmbryoTy::GetMessage | 00578630 STCrabC::GetMessage | 0057BF60 STFishC::GetMessage | 00581BF0 STJellyManC::GetMessage | 00583270 STJellyGunC::GetMessage | 00589C10 STOctopusC::GetMessage | 0058D7C0 STSharkC::GetMessage | 005F5F20 STColl3C::GetMessage | 00601F80 STDestC::GetMessage | 00621B50 STMineSetC::GetMessage
0x129	297	MESS_SHARED_0129	3	0044EE30 STBoatC::GetMessage | 005EAF10 STArtiafactC::GetMessage | 005FB640 STContainerC::GetMessage
0x4201	16897	MESS_CURSORCLASSTY_4201	1	005449B0 CursorClassTy::GetMessage
0x4202	16898	MESS_CURSORCLASSTY_4202	1	005449B0 CursorClassTy::GetMessage
0x4203	16899	MESS_CURSORCLASSTY_4203	1	005449B0 CursorClassTy::GetMessage
0x43FF	17407	MESS_GAMESYSTEMC_43FF	1	005776D0 GameSystemC::GetMessage
0x4400	17408	MESS_GAMESYSTEMC_4400	1	005776D0 GameSystemC::GetMessage
0x4401	17409	MESS_TLOEMBRYOTY_4401	2	004B9FA0 TLOBaseTy::GetMessage | 004D55B0 TLOEmbryoTy::GetMessage
0x4403	17411	MESS_STSPRGAMEOBJC_4403	1	0041E530 STSprGameObjC::GetMessage
0x4404	17412	MESS_STSPRGAMEOBJC_4404	1	0041E530 STSprGameObjC::GetMessage
0x4405	17413	MESS_STBOATC_4405	1	0044EE30 STBoatC::GetMessage
0x440F	17423	MESS_SHARED_440F	4	0041E530 STSprGameObjC::GetMessage | 004B9FA0 TLOBaseTy::GetMessage | 00578630 STCrabC::GetMessage | 00589C10 STOctopusC::GetMessage
0x44FF	17663	MESS_STPLAYSYSTEMC_44FF	1	0054E4F0 STPlaySystemC::GetMessage
0x5D94	23956	MESS_AIPLRCLASSTY_5D94	1	0067C7E0 AiPlrClassTy::GetMessage
0x5D95	23957	MESS_AIFLTCLASSTY_5D95	1	00667D90 AiFltClassTy::GetMessage
0x5D96	23958	MESS_AIFLTCLASSTY_5D96	1	00667D90 AiFltClassTy::GetMessage
0x5D97	23959	MESS_AIPLRCLASSTY_5D97	1	0067C7E0 AiPlrClassTy::GetMessage
0x5D99	23961	MESS_AIFLTCLASSTY_5D99	1	00667D90 AiFltClassTy::GetMessage
