apply	layout_apply	layout_name	proposed_name	owner	slot_count	named_slot_count	confidence	reason	strong_vptr_refs	all_code_refs	slot_owners	constructor_owners	vptr_writer_owners	primary_vptr_store	this_vptr_offsets	related_tables	table_address
0	1	VTable_007A18C8	VTable_007A18C8		9	0	medium	unnamed_vptr_store	0074CE00 FUN_0074cdc5 [vptr-store] MOV dword ptr [ESI + 0x98],0x7a18c8	0074CE00 FUN_0074cdc5 [vptr-store] MOV dword ptr [ESI + 0x98],0x7a18c8				0	0x98	0079DC3C | 0079DE58 | 007A1488 | 007A1740	007A18C8
0	1	VTable_007A18F0	VTable_007A18F0		5	0	medium	unnamed_vptr_store	0074CDF9 FUN_0074cdc5 [vptr-store] MOV dword ptr [ESI + 0x10],0x7a18f0	0074CDF9 FUN_0074cdc5 [vptr-store] MOV dword ptr [ESI + 0x10],0x7a18f0				0	0x10	0079DC60 | 0079DE7C | 007A14B0 | 007A1768	007A18F0
0	1	VTable_007A1908	VTable_007A1908		18	0	medium	unnamed_vptr_store	0074CDF2 FUN_0074cdc5 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1908	0074CDF2 FUN_0074cdc5 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1908				0	0xC	0079DC74 | 0079DE90 | 007A14C8 | 007A1780	007A1908
0	1	VTable_007A1950	VTable_007A1950		15	0	medium	unnamed_vptr_store	0074CDEC FUN_0074cdc5 [vptr-store] MOV dword ptr [ESI],0x7a1950	0074CDEC FUN_0074cdc5 [vptr-store] MOV dword ptr [ESI],0x7a1950				1	0x0	0079DED8 | 007A17C8	007A1950
0	1	VTable_007A1990	VTable_007A1990		5	0	medium	unnamed_vptr_store	0074CFED FUN_0074cfc0 [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1990	0074CFED FUN_0074cfc0 [vptr-store] MOV dword ptr [ESI + 0x10],0x7a1990				0	0x10	007A1808	007A1990
0	1	VTable_007A19A8	VTable_007A19A8		18	0	medium	unnamed_vptr_store	0074CFE6 FUN_0074cfc0 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a19a8	0074CFE6 FUN_0074cfc0 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a19a8				0	0xC	0079DC74 | 007A14C8 | 007A1820	007A19A8
0	1	VTable_007A19F0	VTable_007A19F0		23	0	medium	unnamed_vptr_store	0074CFE0 FUN_0074cfc0 [vptr-store] MOV dword ptr [ESI],0x7a19f0	0074CFE0 FUN_0074cfc0 [vptr-store] MOV dword ptr [ESI],0x7a19f0				1	0x0	007A1868	007A19F0
0	1	VTable_007A1C08	VTable_007A1C08		4	0	medium	unnamed_vptr_store	0074E7DC FUN_0074e7b1 [vptr-store] MOV dword ptr [ESI + 0x8],0x7a1c08	0074E7DC FUN_0074e7b1 [vptr-store] MOV dword ptr [ESI + 0x8],0x7a1c08				0	0x8	0079DB78 | 0079DDEC | 007A11C8 | 007A13D0 | 007A15E8 | 007A1CB8 | 007A1D88	007A1C08
0	1	VTable_007A1C18	VTable_007A1C18		18	0	medium	unnamed_vptr_store	0074E7D6 FUN_0074e7b1 [vptr-store] MOV dword ptr [EDI],0x7a1c18	0074E7D6 FUN_0074e7b1 [vptr-store] MOV dword ptr [EDI],0x7a1c18				0	0x4	007A1CC8	007A1C18
0	1	VTable_007A1C60	VTable_007A1C60		21	0	medium	unnamed_vptr_store	0074E7CB FUN_0074e7b1 [vptr-store] MOV dword ptr [ESI],0x7a1c60	0074E7CB FUN_0074e7b1 [vptr-store] MOV dword ptr [ESI],0x7a1c60				1	0x0	007A1D10	007A1C60
0	1	VTable_007A1CB8	VTable_007A1CB8		4	0	medium	unnamed_vptr_store	0074EF37 FUN_0074eef3 [vptr-store] MOV dword ptr [ESI + 0x8],0x7a1cb8	0074EF37 FUN_0074eef3 [vptr-store] MOV dword ptr [ESI + 0x8],0x7a1cb8				0	0x8	0079DB78 | 0079DDEC | 007A11C8 | 007A13D0 | 007A15E8 | 007A1C08 | 007A1D88	007A1CB8
0	1	VTable_007A1CC8	VTable_007A1CC8		18	0	medium	unnamed_vptr_store	0074EF30 FUN_0074eef3 [vptr-store] MOV dword ptr [ESI + 0x4],0x7a1cc8	0074EF30 FUN_0074eef3 [vptr-store] MOV dword ptr [ESI + 0x4],0x7a1cc8				0	0x4	007A1C18	007A1CC8
0	1	VTable_007A1D10	VTable_007A1D10		21	0	medium	unnamed_vptr_store	0074EF2A FUN_0074eef3 [vptr-store] MOV dword ptr [ESI],0x7a1d10	0074EF2A FUN_0074eef3 [vptr-store] MOV dword ptr [ESI],0x7a1d10				1	0x0	007A1C60	007A1D10
0	1	VTable_007A1D68	VTable_007A1D68		7	0	medium	unnamed_vptr_store	0074FCB3 FUN_0074fc49 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1d68	0074FCB3 FUN_0074fc49 [vptr-store] MOV dword ptr [ESI + 0xc],0x7a1d68				0	0xC		007A1D68
0	1	VTable_007A1D88	VTable_007A1D88		4	0	medium	unnamed_vptr_store	0074FCAD FUN_0074fc49 [vptr-store] MOV dword ptr [ESI],0x7a1d88	0074FCAD FUN_0074fc49 [vptr-store] MOV dword ptr [ESI],0x7a1d88				1	0x0	0079DB78 | 0079DDEC | 007A11C8 | 007A13D0 | 007A15E8 | 007A1C08 | 007A1CB8	007A1D88
