target_address	target_function	callable_entry	callable_function	via_thunk	call_address	caller_address	caller_function	call_instruction	ecx_mode	ecx_evidence	pushes_in_window	stack_reservation	caller_cleanup_bytes	backward_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A8AAD	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A8AA4: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A8C11	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A8C0B: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005A8C90	005A4350	FSGSTy::GetMessage	CALL 0x006e6080	pointer_setup	005A8C8E: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AB733	005AB300	ChooseMapTy::InitChooseMap	CALL 0x006e6080	pointer_setup	005AB731: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AB759	005AB300	ChooseMapTy::InitChooseMap	CALL 0x006e6080	pointer_setup	005AB74E: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AD438	005AD390	ChooseMapTy::NoneChooseMap	CALL 0x006e6080	pointer_setup	005AD432: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AD455	005AD390	ChooseMapTy::NoneChooseMap	CALL 0x006e6080	pointer_setup	005AD453: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AE570	005AE050	ChooseMapTy::ShowDescription	CALL 0x006e6080	pointer_setup	005AE565: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AE598	005AE050	ChooseMapTy::ShowDescription	CALL 0x006e6080	pointer_setup	005AE593: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AE5C0	005AE050	ChooseMapTy::ShowDescription	CALL 0x006e6080	pointer_setup	005AE5BB: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AE9F1	005AE950	ChooseMapTy::sub_005AE950	CALL 0x006e6080	pointer_setup	005AE9E6: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AEA16	005AE950	ChooseMapTy::sub_005AE950	CALL 0x006e6080	pointer_setup	005AEA11: MOV ECX,ESI	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AEA48	005AE950	ChooseMapTy::sub_005AE950	CALL 0x006e6080	pointer_setup	005AEA3D: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AEF8D	005AEAB0	ChooseMapTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005AEF8B: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AF82E	005AF350	ChooseMapTy::DeleteCtrls	CALL 0x006e6080	pointer_setup	005AF823: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AFA4B	005AF350	ChooseMapTy::DeleteCtrls	CALL 0x006e6080	pointer_setup	005AFA45: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AFA6B	005AF350	ChooseMapTy::DeleteCtrls	CALL 0x006e6080	pointer_setup	005AFA69: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005AFE51	005AFD00	ChooseMapTy::PrepFiles	CALL 0x006e6080	pointer_setup	005AFE4C: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B0739	005AFD00	ChooseMapTy::PrepFiles	CALL 0x006e6080	pointer_setup	005B072D: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B0758	005AFD00	ChooseMapTy::PrepFiles	CALL 0x006e6080	pointer_setup	005B0748: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B0798	005AFD00	ChooseMapTy::PrepFiles	CALL 0x006e6080	pointer_setup	005B0788: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B07B0	005AFD00	ChooseMapTy::PrepFiles	CALL 0x006e6080	pointer_setup	005B07AE: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B1209	005B0BA0	ChooseMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005B1200: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B143D	005B0BA0	ChooseMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005B1434: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B1698	005B0BA0	ChooseMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005B168F: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B18ED	005B0BA0	ChooseMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005B18E4: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B204E	005B0BA0	ChooseMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005B204C: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B7FDF	005B7EF0	MMsgTy::SetMessage	CALL 0x006e6080	pointer_setup	005B7FDD: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005B9096	005B9010	MMsgTy::StatePanel	CALL 0x006e6080	pointer_setup	005B9094: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005BBDF5	005BBA90	PrividerTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005BBDE5: MOV ECX,ESI	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005BBE6F	005BBA90	PrividerTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005BBE63: MOV ECX,ESI	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005BBE96	005BBA90	PrividerTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005BBE8D: MOV ECX,ESI	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005BBEBB	005BBA90	PrividerTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005BBEAB: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005BC749	005BC5E0	PrividerTy::GetMessage	CALL 0x006e6080	pointer_setup	005BC73C: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005BC77D	005BC5E0	PrividerTy::GetMessage	CALL 0x006e6080	pointer_setup	005BC778: MOV ECX,ESI	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005BC7AE	005BC5E0	PrividerTy::GetMessage	CALL 0x006e6080	pointer_setup	005BC79E: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C10D7	005C0E00	MReportTy::SetCtrl	CALL 0x006e6080	pointer_setup	005C10D1: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C11B5	005C0E00	MReportTy::SetCtrl	CALL 0x006e6080	pointer_setup	005C11A5: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C11D8	005C0E00	MReportTy::SetCtrl	CALL 0x006e6080	pointer_setup	005C11CA: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C1FAF	005C1A90	MReportTy::GetMessage	CALL 0x006e6080	pointer_setup	005C1FA6: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C2069	005C1A90	MReportTy::GetMessage	CALL 0x006e6080	pointer_setup	005C2060: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C6652	005C6030	SettMapTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005C6650: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C667E	005C6030	SettMapTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005C666A: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C66A1	005C6030	SettMapTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005C668F: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C66D4	005C6030	SettMapTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005C66CF: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C6979	005C6030	SettMapTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005C6973: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C69CC	005C6030	SettMapTy::CreateCtrls	CALL 0x006e6080	pointer_setup	005C69CA: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C7383	005C6D40	SettMapTy::DeleteCtrls	CALL 0x006e6080	pointer_setup	005C7378: MOV ECX,ESI	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C862C	005C8200	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_0053F510::FUN_005c8200	CALL 0x006e6080	pointer_setup	005C862A: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C8E1E	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C8E12: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C8E61	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C8E55: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C8EEC	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C8EEA: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C911B	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C9112: MOV ECX,EBX	3	0	0	previous_call
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C91E6	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C91DD: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C921C	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C9213: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C9252	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C9249: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C9282	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C9279: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C92B8	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C92AF: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C92E8	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C92DF: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C931E	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C9315: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C9354	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C934B: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C99D2	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C99C9: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C9A32	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C9A29: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C9A72	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C9A69: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C9AAB	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C9AA2: MOV ECX,EBX	3	0	0	control_flow_boundary
006E6080	FUN_006e6080	006E6080	FUN_006e6080	0	005C9AE4	005C8A40	SettMapTy::GetMessage	CALL 0x006e6080	pointer_setup	005C9ADB: MOV ECX,EBX	3	0	0	control_flow_boundary
