apply	action	function_address	function_name	call_address	slot_offset	expected_override	proposed_calling_convention	receiver_type	stack_parameter_count	proposed_parameter_types	proposed_return_type	signature_function_address	signature_function	confidence	evidence
1	apply	004EE4D0	BehPanelTy::GetMessage	004EE5B8	0	__thiscall;/int;pointer:/BehPanelTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/BehPanelTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ESI; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/BehPanelTyVTable]; receiver_paths=[/BehPanelTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	present	004EEA40	BldBoatPanelTy::InitBldBoatPanel	004EEDB2	8	none	__thiscall	pointer:/void	5	/undefined4;/undefined4;/undefined4;/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x8; stack_words=5; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004F05C0	BldObjPanelTy::InitBldObjPanel	004F0900	8	none	__thiscall	pointer:/void	5	/undefined4;/undefined4;/undefined4;/undefined4;/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x8; stack_words=5; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	apply	004F5690	CPanelTy::InitCPanel	004F70EB	0	__thiscall;/int;pointer:/AiBossClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/AiBossClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ECX; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable]; receiver_paths=[/AiBossClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	apply	004F96A0	CPanelTy::PlayBrief	004F9AEE	0	__thiscall;/int;pointer:/AiBossClassTy;pointer:/SubmarineTitans/Recovered/STMessage	__thiscall	pointer:/AiBossClassTy	1	pointer:/SubmarineTitans/Recovered/STMessage	/int			high	exact CALLIND at physical slot 0x0; observed_pushes=1; ECX=ECX; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable]; receiver_paths=[/AiBossClassTy, /SubmarineTitans/Recovered/STMessage]; exact physical-slot use-site view; raw receiver transport remains neutral in the containing function to avoid derived-layout back-propagation without recovered inheritance
1	present	004FA870	CPanelTy::sub_004FA870	004FA8C8	28	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x1C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004FA870	CPanelTy::sub_004FA870	004FA8E4	28	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x1C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004FA870	CPanelTy::sub_004FA870	004FA900	28	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x1C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004FA870	CPanelTy::sub_004FA870	004FA938	32	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x20; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	004FA870	CPanelTy::sub_004FA870	004FA970	28	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x1C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
