convention_apply	receiver_type_apply	address	expected_name	expected_name_source	expected_signature	expected_signature_source	expected_calling_convention	proposed_calling_convention	receiver_type_name	receiver_type_path	observed_size	vtable_slots	calls	ecx_pointer_setup	ecx_scalar_setup	ecx_live_prior	caller_cleanup_calls	expected_stack_bytes	confidence	reason
0	0	00493250	FUN_00493250	DEFAULT	undefined FUN_00493250(void)	DEFAULT	unknown	__thiscall	AnonReceiver_00493250	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00493250	1998		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=11; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	00493CA0	FUN_00493ca0	DEFAULT	undefined FUN_00493ca0(void)	DEFAULT	unknown	__thiscall	AnonReceiver_00493CA0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00493CA0	1787		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004952C0	FUN_004952c0	DEFAULT	undefined FUN_004952c0(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004952C0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004952C0	1854		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	00497370	FUN_00497370	DEFAULT	undefined4 __stdcall FUN_00497370(int param_1, int param_2, uint param_3, undefined4 param_4, void * param_5)	ANALYSIS	__stdcall	__thiscall	AnonReceiver_00497110	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00497110	4		1	1	0	0	0	20	medium	incoming_receiver_captures=1; receiver_accesses=0; incoming_edx_uses=0; calls=1; ecx_pointer_setup=1; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[20]; expected_stack=20
0	0	004996F0	FUN_004996f0	DEFAULT	undefined FUN_004996f0(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004996F0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004996F0	81		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	00499710	FUN_00499710	DEFAULT	undefined FUN_00499710(void)	DEFAULT	unknown	__thiscall	AnonReceiver_00499710	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00499710	85		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	00499730	FUN_00499730	DEFAULT	undefined FUN_00499730(void)	DEFAULT	unknown	__thiscall	AnonReceiver_00499730	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00499730	89		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004A0EC0	FUN_004a0ec0	DEFAULT	undefined FUN_004a0ec0(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004A0EC0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004A0EC0	490		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
0	0	004B7750	FUN_004b7750	DEFAULT	undefined4 __stdcall FUN_004b7750(undefined4 param_1)	ANALYSIS	__stdcall	__thiscall	AnonReceiver_00405687	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_00405687	22615	0x0,0x4,0x8,0xC,0x10,0x14,0x18,0x1C,0x20,0x24,0x28,0x2C,0x6C,0x78,0x7C,0x90,0xAC,0xC4,0xC8,0xCC,0xD8,0xE8,0xF8,0x100,0x104,0x124	7	3	0	0	0	4	medium	incoming_receiver_captures=1; receiver_accesses=0; incoming_edx_uses=0; calls=7; ecx_pointer_setup=3; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[4]; expected_stack=4
0	0	004BE0F0	FUN_004be0f0	DEFAULT	undefined FUN_004be0f0(void)	DEFAULT	unknown	__thiscall	AnonReceiver_004BE0F0	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004BE0F0	1456		0	0	0	0	0	0	review	incoming_receiver_captures=0; receiver_accesses=1; incoming_edx_uses=0; calls=0; ecx_pointer_setup=0; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0
