address	function	current_calling_convention	signature_source	evidence	action
005B9860	MMMObjTy::OutLstProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005B99F0	MMMObjTy::OutEdProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005BD4B0	MReportTy::OutTGlProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005C28C0	StartSystemTy::OutBmpProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005CD9A0	SettMapMTy::ChgPlList	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005CFE50	SettMapMTy::SendDesc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005D8160	SIDTy::PaintSID	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005DBE50	StartSystemTy::OutBmpProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005DBF40	StartSystemTy::OutBmpProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005DF530	MTaskTy::OutGlassBmpProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005DF640	MTaskTy::OutGlassTxtProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005DF7C0	MTaskTy::OutGlassATxtProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005E10A0	MTaskTy::TTaskItemClose	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005E11D0	MTaskTy::PrepareTSurf	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005E1330	MTaskTy::PlayScript	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005E3E80	MTaskTy::CreateTextSSpr	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
005E6640	ChooseMapTy::OutListProc	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
0062F3B0	STRubbishC::LoadImagSpr	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
0064D890	AiEventClassTy::_CreateRCCont	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
0064DB00	AiEventClassTy::_CreateArt	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
0064DDA0	AiEventClassTy::_CreateDest	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
0064DFA0	AiEventClassTy::_CreateMine	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
006A0960	CGenerate::_saveObj	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
006F1170	cMf32::delete	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
0070CEB0	ccFntTy::operator	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
0070D1F0	ccFntTy::operator	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
0070DF00	ccFntTy::operator	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
00710560	ccFntTy::operator	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
00712F80	ccFntTy::_TxtToSarr	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
00713080	ccFntTy::_SarrToTxt	__thiscall	USER_DEFINED	no live incoming ECX use found before clobber/call	review_only; analyzer never reverts an existing signature
