function_address	function	parameter_ordinal	parameter_name	parameter_type	storage	frame_offset	qualifies	selected	score	direct_reads	scalar_operations	signed_comparisons	unsigned_bounds	pointer_dereferences	slot_reused	evidence
0058D160	FUN_0058d160	9	param_10	pointer:/undefined2	Stack[0x28]:4	0x28	0	0	104	1	4	0	0	0	0	0058D179 incoming load: MOV EDI,dword ptr [EBP + 0x28] | 0058D187 scalar operation: SUB EDI,EDX | 0058D18D scalar operation: SAR EDI,0x1 | 0058D18F scalar operation: ADD EDI,ECX | 0058D193 scalar operation: SUB EDI,EDX
0058D160	FUN_0058d160	9	param_10	pointer:/undefined2	Stack[0x28]:4	0x2c	0	0	101	1	1	0	0	1	0	0058D3A9 incoming load: MOV EDX,dword ptr [EBP + 0x2c] | 0058D3AF pointer-like dereference: MOV word ptr [EDX],SI | 0058D3BB scalar operation: LEA EDX,[ECX + ECX*0x4]
0058D160	FUN_0058d160	10	param_11	pointer:/undefined2	Stack[0x2c]:4	0x2c	0	0	101	1	1	0	0	1	0	0058D3A9 incoming load: MOV EDX,dword ptr [EBP + 0x2c] | 0058D3AF pointer-like dereference: MOV word ptr [EDX],SI | 0058D3BB scalar operation: LEA EDX,[ECX + ECX*0x4]
0058D160	FUN_0058d160	10	param_11	pointer:/undefined2	Stack[0x2c]:4	0x30	0	0	101	1	1	0	0	1	0	0058D3AC incoming load: MOV ECX,dword ptr [EBP + 0x30] | 0058D3B2 pointer-like dereference: MOV word ptr [ECX],DI | 0058D3B5 scalar operation: LEA ECX,[EBX + EBX*0x4]
0058E530	FUN_0058e530	2	param_2	pointer:/undefined2	Stack[0x8]:4	0x8	0	0	0	0	0	0	0	0	0	-
0058E530	FUN_0058e530	2	param_2	pointer:/undefined2	Stack[0x8]:4	0xc	0	0	100	1	0	0	0	1	0	0058E533 incoming load: MOV EDX,dword ptr [EBP + 0xc] | 0058E53A pointer-like dereference: MOV word ptr [EDX],AX
0058E530	FUN_0058e530	3	param_3	pointer:/undefined2	Stack[0xc]:4	0xc	0	0	100	1	0	0	0	1	0	0058E533 incoming load: MOV EDX,dword ptr [EBP + 0xc] | 0058E53A pointer-like dereference: MOV word ptr [EDX],AX
0058E530	FUN_0058e530	3	param_3	pointer:/undefined2	Stack[0xc]:4	0x10	0	0	100	1	0	0	0	1	0	0058E53D incoming load: MOV EDX,dword ptr [EBP + 0x10] | 0058E544 pointer-like dereference: MOV word ptr [EDX],AX
0058E530	FUN_0058e530	4	param_4	pointer:/undefined2	Stack[0x10]:4	0x10	0	0	100	1	0	0	0	1	0	0058E53D incoming load: MOV EDX,dword ptr [EBP + 0x10] | 0058E544 pointer-like dereference: MOV word ptr [EDX],AX
0058E530	FUN_0058e530	4	param_4	pointer:/undefined2	Stack[0x10]:4	0x14	0	0	100	1	0	0	0	1	0	0058E54B incoming load: MOV ECX,dword ptr [EBP + 0x14] | 0058E551 pointer-like dereference: MOV word ptr [ECX],AX
0058E530	FUN_0058e530	5	param_5	pointer:/undefined4	Stack[0x14]:4	0x14	0	0	100	1	0	0	0	1	0	0058E54B incoming load: MOV ECX,dword ptr [EBP + 0x14] | 0058E551 pointer-like dereference: MOV word ptr [ECX],AX
0058E530	FUN_0058e530	5	param_5	pointer:/undefined4	Stack[0x14]:4	0x18	0	0	100	1	0	0	0	1	0	0058E54E incoming load: MOV EDX,dword ptr [EBP + 0x18] | 0058E554 pointer-like dereference: MOV dword ptr [EDX],0x0
0058F680	FUN_0058f680	1	param_1	pointer:/undefined2	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0058F680	FUN_0058f680	1	param_1	pointer:/undefined2	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	1	0	0058FD1A incoming load: MOV EDX,dword ptr [EBP + 0x8] | 0058FD20 pointer-like dereference: MOV word ptr [EDX],DI
0058F680	FUN_0058f680	2	param_2	pointer:/undefined2	Stack[0x8]:4	0x8	0	0	100	1	0	0	0	1	0	0058FD1A incoming load: MOV EDX,dword ptr [EBP + 0x8] | 0058FD20 pointer-like dereference: MOV word ptr [EDX],DI
0058F680	FUN_0058f680	2	param_2	pointer:/undefined2	Stack[0x8]:4	0xc	0	0	100	1	0	0	0	1	0	0058FD1D incoming load: MOV ECX,dword ptr [EBP + 0xc] | 0058FD26 pointer-like dereference: MOV word ptr [ECX],BX
0058F680	FUN_0058f680	3	param_3	pointer:/undefined2	Stack[0xc]:4	0xc	0	0	100	1	0	0	0	1	0	0058FD1D incoming load: MOV ECX,dword ptr [EBP + 0xc] | 0058FD26 pointer-like dereference: MOV word ptr [ECX],BX
0058F680	FUN_0058f680	3	param_3	pointer:/undefined2	Stack[0xc]:4	0x10	0	0	100	1	0	0	0	1	0	0058FD23 incoming load: MOV EDX,dword ptr [EBP + 0x10] | 0058FD29 pointer-like dereference: MOV word ptr [EDX],AX
00591BF0	CampaignTy::NoneCampaign	1	param_1	pointer:/void	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
00591BF0	CampaignTy::NoneCampaign	1	param_1	pointer:/void	Stack[0x4]:4	0x8	0	0	0	0	0	0	0	0	0	-
00593B50	ComboTy::InitCombo	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
00593B50	ComboTy::InitCombo	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	0	0	00593B8B incoming load: MOV ESI,dword ptr [EBP + 0x8]
00594850	FUN_00594850	1	param_2	pointer:/undefined	Stack[0x8]:4	0x8	0	0	100	1	0	0	0	0	0	005949B0 incoming load: MOV EAX,dword ptr [EBP + 0x8]
00594850	FUN_00594850	1	param_2	pointer:/undefined	Stack[0x8]:4	0xc	0	0	100	1	0	0	0	0	0	005949A7 incoming load: MOV EAX,dword ptr [EBP + 0xc]
00594B90	FSGSTy::OutChSlProc	8	param_8	pointer:/undefined4	Stack[0x20]:4	0x20	0	0	604	6	4	0	0	0	0	00594BD3 incoming load: MOV ECX,dword ptr [EBP + 0x20] | 00594BF2 incoming load: MOV EDX,dword ptr [EBP + 0x20] | 00594C06 incoming load: MOV EDX,dword ptr [EBP + 0x20] | 00594C10 scalar operation: LEA EAX,[EDX + -0x62] | 00594C2A incoming load: MOV ECX,dword ptr [EBP + 0x20] | 00594C31 scalar operation: LEA EAX,[ECX + -0x62] | 00594C4E incoming load: MOV EDX,dword ptr [EBP + 0x20] | 00594C51 scalar operation: LEA EAX,[ECX + EDX*0x1 + -0x16] | 00594C71 incoming load: MOV ECX,dword ptr [EBP + 0x20] | 00594C7B scalar operation: LEA EDX,[EAX + ECX*0x1 + -0x1]
00594B90	FSGSTy::OutChSlProc	8	param_8	pointer:/undefined4	Stack[0x20]:4	0x24	0	0	100	1	0	0	0	0	0	00594B96 incoming load: MOV EAX,dword ptr [EBP + 0x24]
0059D720	FSGSTy::InfoCtrls	1	param_1	pointer:/void	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0059D720	FSGSTy::InfoCtrls	1	param_1	pointer:/void	Stack[0x4]:4	0x8	0	0	0	0	0	0	0	0	0	-
005A1920	FSGSTy::SetBanner	5	param_5	pointer:/undefined4	Stack[0x14]:4	0x14	0	0	201	2	1	0	0	0	0	005A19FD incoming load: MOV ESI,dword ptr [EBP + 0x14] | 005A1A20 scalar operation: SHR ECX,0x2 | 005A1C01 incoming load: MOV ECX,dword ptr [EBP + 0x14]
005A1920	FSGSTy::SetBanner	5	param_5	pointer:/undefined4	Stack[0x14]:4	0x18	0	0	300	3	0	0	0	0	0	005A1929 incoming load: MOV EAX,dword ptr [EBP + 0x18] | 005A1A19 incoming load: MOV ESI,dword ptr [EBP + 0x18] | 005A1C04 incoming load: MOV EDX,dword ptr [EBP + 0x18]
005A2380	FSGSTy::AddPlayer	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
005A2380	FSGSTy::AddPlayer	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	101	1	1	0	0	0	0	005A242E incoming load: MOV ESI,dword ptr [EBP + 0x8] | 005A2499 scalar operation: LEA ESI,[EBX + 0x1d]
005A2D70	FSGSTy::JoinChannel	1	param_1	pointer:/void	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
005A2D70	FSGSTy::JoinChannel	1	param_1	pointer:/void	Stack[0x4]:4	0x8	0	0	0	0	0	0	0	0	0	-
005A2FF0	FSGSTy::SetChannelList	2	param_2	pointer:/undefined4	Stack[0x8]:4	0x8	0	0	101	1	1	0	0	0	0	005A309B incoming load: MOV EBX,dword ptr [EBP + 0x8] | 005A30C2 scalar operation: DEC EBX
005A2FF0	FSGSTy::SetChannelList	2	param_2	pointer:/undefined4	Stack[0x8]:4	0xc	0	0	101	1	1	0	0	0	0	005A30AF incoming load: MOV EDI,dword ptr [EBP + 0xc] | 005A30BF scalar operation: ADD EDI,0x68
005A40F0	FSGSTy::SetLadder	4	param_4	pointer:/undefined4	Stack[0x10]:4	0x10	0	0	101	1	1	0	0	0	0	005A41A5 incoming load: MOV EAX,dword ptr [EBP + 0x10] | 005A41B7 scalar operation: LEA EDX,[EAX + EAX*0x8]
