apply	function_address	function_name	original_name	merge_group	merge_group_count	expected_current_type	expected_symbol_source	proposed_type	anchor_kind	anchor_address	anchor_time	anchor_operand	direct_target_address	resolved_target_address	anchor_source	supporting_anchors	evidence_count	confidence	reason
0	0042D980	STAllPlayersC::GetActiveCenter	pSVar5	0	6	pointer:/STGameObjC	DEFAULT		call_return	0042DDAC	1522	-1	004028BA	0042B620	ANALYSIS	0042DDAC:t1522:call_return:-1:004028BA:0042B620	2	conflict	incompatible exact lifetime types=[pointer:/STFishC, pointer:/STGameObjC]
0	0042D980	STAllPlayersC::GetActiveCenter	pSVar5	1	6	pointer:/STGameObjC	DEFAULT		call_return	0042DCF7	1238	-1	004028BA	0042B620	ANALYSIS	0042DCF7:t1238:call_return:-1:004028BA:0042B620	2	conflict	incompatible exact lifetime types=[pointer:/STFishC, pointer:/STGameObjC]
0	0042D980	STAllPlayersC::GetActiveCenter	pSVar5	2	6	pointer:/STGameObjC	DEFAULT		call_return	0042DC2B	1077	-1	004028BA	0042B620	ANALYSIS	0042DC2B:t1077:call_return:-1:004028BA:0042B620	2	conflict	incompatible exact lifetime types=[pointer:/STFishC, pointer:/STGameObjC]
0	0042D980	STAllPlayersC::GetActiveCenter	pSVar5	3	6	pointer:/STGameObjC	DEFAULT		call_return	0042DB34	779	-1	004028BA	0042B620	ANALYSIS	0042DB34:t779:call_return:-1:004028BA:0042B620	2	conflict	incompatible exact lifetime types=[pointer:/STFishC, pointer:/STGameObjC]
0	0042D980	STAllPlayersC::GetActiveCenter	pSVar5	4	6	pointer:/STGameObjC	DEFAULT		call_return	0042DA3C	337	-1	004028BA	0042B620	ANALYSIS	0042DA3C:t337:call_return:-1:004028BA:0042B620	2	conflict	incompatible exact lifetime types=[pointer:/STFishC, pointer:/STGameObjC]
0	0042D980	STAllPlayersC::GetActiveCenter	pSVar5	5	6	pointer:/STGameObjC	DEFAULT		call_return	0042DA7B	548	-1	004028BA	0042B620	ANALYSIS	0042DA7B:t548:call_return:-1:004028BA:0042B620	2	conflict	incompatible exact lifetime types=[pointer:/STFishC, pointer:/STGameObjC]
0	0042E210	STAllPlayersC::RegisterObject	array	0	1	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	DEFAULT	pointer:/SubmarineTitans/Recovered/DArrayTy	call_argument	0042E2F7	266	0	006AE140	006AE140	ANALYSIS	0042E2F7:t266:call_argument:0:006AE140:006AE140	1	review	pointer-shaped local has only scalar consumers; exact_type_votes=1; score=4; sources=[call_argument]; one-way call conversion alone is review-only; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol
0	0042E210	STAllPlayersC::RegisterObject	local_28	0	1	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	DEFAULT	pointer:/SubmarineTitans/Recovered/DArrayTy	call_argument	0042E2F7	266	0	006AE140	006AE140	ANALYSIS	0042E2F7:t266:call_argument:0:006AE140:006AE140	1	review	single receiver-alias lifetime; exact_type_votes=1; score=4; sources=[call_argument]; one-way call conversion alone is review-only; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol
0	0042E210	STAllPlayersC::RegisterObject	local_c	0	1	pointer:/STGroupBoatC	DEFAULT		call_return	0042EB23	1500	-1	00405CF9	0042B760	ANALYSIS	0042EB23:t1500:call_return:-1:00405CF9:0042B760	2	conflict	incompatible exact lifetime types=[pointer:/STGroupBoatC, pointer:/STGroupC]
0	0042F2B0	STAllPlayersC::UnRegisterObject	array_00	0	1	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	DEFAULT	pointer:/SubmarineTitans/Recovered/DArrayTy	call_argument	00430013	1886	0	006AE140	006AE140	ANALYSIS	00430013:t1886:call_argument:0:006AE140:006AE140	1	review	pointer-shaped local has only scalar consumers; exact_type_votes=1; score=4; sources=[call_argument]; one-way call conversion alone is review-only; exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol
