function_address	function	target_kind	target_ordinal	target_name	current_type	storage	source	candidate_type	strong_evidence	candidate_sites	status	type_evidence	evidence_sites
0058CF90	FUN_0058cf90	parameter	2	param_2	/undefined2	Stack[0x8]:2	DEFAULT	/ushort	0	1	insufficient_independent_evidence	{/ushort=1}	004CCC10 -> 0058CF90 @ 004CD139; unproven partial register write at 004CD12D
0058CF90	FUN_0058cf90	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058CFC0	FUN_0058cfc0	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058CFE0	FUN_0058cfe0	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0058D080	FUN_0058d080	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0058D160	FUN_0058d160	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0058D480	FUN_0058d480	parameter	3	param_4	/undefined4	Stack[0x10]:4	DEFAULT		0	0	no_evidence		-
0058D5E0	FUN_0058d5e0	parameter	4	param_5	/undefined4	Stack[0x14]:4	DEFAULT		0	0	no_evidence		-
0058D6F0	FUN_0058d6f0	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0058D720	FUN_0058d720	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058E440	FUN_0058e440	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0058E530	FUN_0058e530	parameter	1	param_1	/undefined4	Stack[0x4]:4	DEFAULT		0	0	no_evidence		-
0058E530	FUN_0058e530	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0058E570	STSharkC::LifeShark	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058EEB0	FUN_0058eeb0	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0058F030	FUN_0058f030	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
