target	target_kind	status	detail
/SubmarineTitans/Recovered/VTables/STBoatCVTable+60	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+64	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+68	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+72	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+76	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+80	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+84	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+88	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+92	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+100	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+104	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+108	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+112	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+116	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+120	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+124	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+128	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+132	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+136	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+140	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+144	vtable_slot	disabled	apply=0
/SubmarineTitans/Recovered/VTables/STBoatCVTable+148	vtable_slot	disabled	apply=0
