sequence	script	status	duration_ms	argument	detail
100	STIndirectCallAnalyzer.java	completed	2157	<repo>/recovery	-
101	STIndirectCallApplier.java	completed	53	<repo>/recovery/ST.exe/indirect_call_proposals.tsv	recovery_state: proposals_enabled=2134, proposals_review=502, changed=0, unchanged=2134, review=502, conflict=0, error=0
102	STAbiRegressionGate.java	completed	1733	<repo>/decomp/ST.exe | <repo>/recovery/ST.exe | <repo>/config | post-structural-indirect | 	-
103	STSourceProvenanceAnalyzer.java	completed	312	<repo>/recovery	-
104	STSourceProvenanceApplier.java	completed	32	<repo>/recovery/ST.exe/source_provenance_proposals.tsv	recovery_state: proposals_enabled=271, proposals_review=878, changed=0, unchanged=439, review=1859, conflict=0, error=0
105	STThunkPropagationAnalyzer.java	completed	181	<repo>/recovery	-
106	STThunkPropagationApplier.java	completed	42	<repo>/recovery/ST.exe/thunk_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=3826, changed=0, unchanged=0, review=3826, conflict=0, error=0
107	STControlFlowLabelAnalyzer.java	skipped	0	<local-home>/st/recovery	semantic/source/dependency cache hit; reusing verified analyzer artifacts
108	STControlFlowLabelApplier.java	completed	61	<repo>/recovery/ST.exe/control_flow_label_proposals.tsv	recovery_state: proposals_enabled=431, proposals_review=3007, changed=0, unchanged=431, review=3007, conflict=0, error=0
109	STLibraryAnalyzer.java	completed	306	<repo>/recovery	-
110	STLibraryApplier.java	completed	36	<repo>/recovery/ST.exe/library_proposals.tsv	-
111	STGlobalDataAnalyzer.java	completed	3466	<repo>/recovery	-
112	STGlobalDataApplier.java	completed	22	<repo>/recovery/ST.exe/global_data_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=111, changed=0, unchanged=0, review=111, conflict=0, error=0
113	STPointerShapeAnalyzer.java	skipped	0	<local-home>/st/recovery	clean analyzer node at the current Program epoch; reusing verified artifacts
114	STPointerShapeApplier.java	completed	26	<repo>/recovery/ST.exe/pointer_shape_target_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=2007, changed=0, unchanged=0, review=2833, conflict=0, error=0
115	STDiscriminatedPayloadAnalyzer.java	skipped	0	<local-home>/st/recovery	clean analyzer node at the current Program epoch; reusing verified artifacts
116	STDiscriminatedPayloadAnalyzer.java	completed	3404	<repo>/recovery | final-stacks	-
117	STDiscriminatedPayloadApplier.java	completed	27	<repo>/recovery/ST.exe/discriminated_payload_proposals.tsv	recovery_state: proposals_enabled=28, proposals_review=1, changed=0, unchanged=35, review=1, conflict=0, error=0
118	STLocalLifetimeAnalyzer.java	skipped	0	<local-home>/st/recovery	semantic/source/dependency cache hit; reusing verified analyzer artifacts
119	STLocalLifetimeApplier.java	completed	23670	<repo>/recovery/ST.exe/local_lifetime_proposals.tsv	recovery_state: proposals_enabled=40, proposals_review=570, changed=0, unchanged=16, review=572, conflict=22, error=0
120	STTypeLifecycleAnalyzer.java	completed	435	<repo>/recovery	-
121	STTypeLifecycleApplier.java	completed	544	<repo>/recovery/ST.exe/type_lifecycle_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=1400, changed=0, unchanged=0, review=1400, conflict=0, error=0
122	STAbiConsistencyAnalyzer.java	completed	10486	<repo>/recovery	-
123	STAbiConsistencyApplier.java	completed	30	<repo>/recovery/ST.exe/abi_consistency_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=0, changed=0, unchanged=0, review=0, conflict=0, error=0
124	STReturnSemanticsAnalyzer.java	completed	404	<repo>/recovery | repair-only	-
125	STReturnSemanticsApplier.java	completed	20	<repo>/recovery/ST.exe/return_semantics_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=0, changed=0, unchanged=0, review=0, conflict=0, error=0
126	STAbiRegressionGate.java	completed	1766	<repo>/decomp/ST.exe | <repo>/recovery/ST.exe | <repo>/config | export-return-repair | 	-
127	STFunctionPointerParameterAnalyzer.java	skipped	0	<local-home>/st/recovery	clean analyzer node at the current Program epoch; reusing verified artifacts
128	STFunctionPointerParameterApplier.java	completed	19	<repo>/recovery/ST.exe/function_pointer_parameter_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=25, changed=0, unchanged=0, review=25, conflict=0, error=0
129	STFunctionPointerFieldAnalyzer.java	skipped	0	<local-home>/st/recovery	clean analyzer node at the current Program epoch; reusing verified artifacts
130	STFunctionPointerFieldApplier.java	completed	16	<repo>/recovery/ST.exe/function_pointer_field_proposals.tsv	recovery_state: proposals_enabled=0, proposals_review=0, changed=0, unchanged=0, review=0, conflict=0, error=0
131	STIndirectCallAnalyzer.java	completed	2129	<repo>/recovery	-
132	STIndirectCallApplier.java	completed	48	<repo>/recovery/ST.exe/indirect_call_proposals.tsv	recovery_state: proposals_enabled=2134, proposals_review=502, changed=0, unchanged=2134, review=502, conflict=0, error=0
133	STAbiRegressionGate.java	completed	1614	<repo>/decomp/ST.exe | <repo>/recovery/ST.exe | <repo>/config | export-indirect-pass-1 | 	-
134	STManualTypeAuditAnalyzer.java	completed	77	<repo>/recovery	-
135	STEvidenceLedger.java	completed	4152	record | <repo>/recovery	-
136	STEvidenceLedger.java	completed	4154	verify | <repo>/recovery	-
137	STDecompExport.java	completed	40800	<repo>/decomp	-
138	STExportRegressionGate.java	completed	697	<repo>/decomp/ST.exe | <repo>/recovery/ST.exe/runs/.current/pre_export | <repo>/recovery/ST.exe	-
139	STAbiRegressionGate.java	completed	1846	<repo>/decomp/ST.exe | <repo>/recovery/ST.exe | <repo>/config | accepted-refresh | 27b2e1eb234982f047ed62f60bc77e1a7bde68397a9bbe5e0b2e1686a4b2fed8	-
