apply	function_address	expected_function	expected_signature	expected_return_type	expected_return_source	expected_noreturn	proposed_return_type	proposed_noreturn	semantic_id	confidence	roundtrip_call_sites	expected_call_overrides	roundtrip_return_ordinals	evidence
0	00584060	STJellyGunC::sub_00584060	undefined4 __thiscall sub_00584060(int * param_1, int * param_2, int * param_3)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [1, 1, 0, 0, 0]
0	0058D080	FUN_0058d080	undefined4 __cdecl FUN_0058d080(int param_1)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [1, 0]
0	0058D160	FUN_0058d160	undefined4 __cdecl FUN_0058d160(short param_1, short param_2, short param_3, short param_4, RecoveredRecord_0058D160_4B53BB8A * param_5, int param_6, int param_7, int param_8, int param_9, undefined2 * param_10, undefined2 * param_11, short * param_12)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [0, 1]
0	0058F030	FUN_0058f030	undefined4 __fastcall FUN_0058f030(RecoveredRecordView_0058F030_1CB310F2 * param_1)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [1, 1, 1, 0]
0	005EBD80	FUN_005ebd80	undefined4 __fastcall FUN_005ebd80(RecoveredRecordView_005EBD80_8404A6E9 * param_1)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
0	005EFAE0	FUN_005efae0	undefined4 __thiscall FUN_005efae0(RecoveredRecordView_005EFAE0_855D930D * param_1)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [1, 1, 0]
0	005F07A0	FUN_005f07a0	undefined4 __fastcall FUN_005f07a0(STBoatC * param_1)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [1, 0]
0	005F1D80	VisibleClassTy::sub_005F1D80	undefined4 __thiscall sub_005F1D80(int param_1, int param_2, int param_3)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [0, 1]
0	005F4C50	STBHEShellC::sub_005F4C50	undefined4 __thiscall sub_005F4C50(float param_1, undefined4 param_2, int param_3, int param_4, int param_5, int param_6)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [0, 1]
0	005FC4A0	FUN_005fc4a0	undefined4 __fastcall FUN_005fc4a0(RecoveredRecordView_005FC4A0_75D5CD83 * param_1)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
0	00600750	FUN_00600750	undefined4 __fastcall FUN_00600750(RecoveredRecordView_00600750_34156DAE * param_1)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [0, 1]
0	0060CA40	FUN_0060ca40	void __thiscall FUN_0060ca40(int param_1)	/void	ANALYSIS	false	/void	false	void_eax_read_review	review				void remains unchanged: one or more callsites retain/read EAX, but that alone does not prove the callee returned it; machine CFG audit: used=0, ignored=3, unknown=1
0	0060D940	FUN_0060d940	undefined4 __fastcall FUN_0060d940(RecoveredRecordView_0060D940_344D28E6 * param_1)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [0, 1]
0	0060E680	FUN_0060e680	undefined4 __cdecl FUN_0060e680(uint param_1, uint param_2, uint param_3, uint param_4, uint param_5, uint param_6, int * param_7, RecoveredRecord_0060E680_206C65A9 * param_8, uint * param_9, uint * param_10, uint * param_11)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [1, 1, 0]
0	00615AD0	FUN_00615ad0	undefined4 __fastcall FUN_00615ad0(RecoveredRecordView_00615AD0_52CA5C0D * param_1)	/undefined4	DEFAULT	false	/bool	false	boolean_return_domain	review				all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [1, 0]
