apply	shape_id	type_path	length	target_count	field_count	confidence	reason
0	AnonNested_00721830_0138_12664224	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00721830_0138_12664224	24	1	2	review	fixed-offset accesses through pointer field +0x138
0	AnonNested_0074A39B_0078_6EAEE8D5	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074A39B_0078_6EAEE8D5	208	1	4	review	fixed-offset accesses through pointer field +0x78
0	AnonNested_0074BFBF_008C_134640C4	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074BFBF_008C_134640C4	200	1	3	review	fixed-offset accesses through pointer field +0x8C
0	AnonNested_0074C45B_00D8_1CE910A3	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074C45B_00D8_1CE910A3	148	1	2	review	fixed-offset accesses through pointer field +0xD8
0	AnonNested_0074C77C_00A0_9AFF712D	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074C77C_00A0_9AFF712D	144	1	2	review	fixed-offset accesses through pointer field +0xA0
0	AnonNested_0074CAA4_008C_5B93FF00	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074CAA4_008C_5B93FF00	160	1	2	review	fixed-offset accesses through pointer field +0x8C
0	AnonNested_0074CCE2_008C_4977F015	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074CCE2_008C_4977F015	204	1	2	review	fixed-offset accesses through pointer field +0x8C
0	AnonNested_0074CCE2_0090_2EA95B8A	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074CCE2_0090_2EA95B8A	156	1	2	review	fixed-offset accesses through pointer field +0x90
0	AnonNested_0074CF58_00E0_5F67D8EB	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074CF58_00E0_5F67D8EB	148	1	2	review	fixed-offset accesses through pointer field +0xE0
0	AnonNested_0074D042_00A8_3DC33D1A	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074D042_00A8_3DC33D1A	144	1	2	review	fixed-offset accesses through pointer field +0xA8
0	AnonShape_00405687_DE2B7401	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00405687_DE2B7401	1192	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00415160_AB16B45B	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00415160_AB16B45B	44	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00416330_34920DE3	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00416330_34920DE3	68	1	1	review	single/weak fixed-offset profile retained for review
0	AnonShape_00416350_3493D299	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00416350_3493D299	80	1	1	review	single/weak fixed-offset profile retained for review
