function_address	label_address	proposed_name	status	detail
0043AE40	0043B686	cf_common_exit_0043B686	unchanged	label is already primary
0043AE40	0043BB49	cf_common_exit_0043BB49	unchanged	label is already primary
0043BEB0	0043C293	cf_join_0043C293	disabled	apply=0
0043BEB0	0043C508	cf_common_exit_0043C508	unchanged	label is already primary
0043BEB0	0043C67B	cf_join_0043C67B	disabled	apply=0
0043BEB0	0043C72D	cf_common_exit_0043C72D	unchanged	label is already primary
0043BEB0	0043C862	cf_common_exit_0043C862	unchanged	label is already primary
0043BEB0	0043C86F	cf_common_exit_0043C86F	unchanged	label is already primary
0043BEB0	0043C94C	cf_common_exit_0043C94C	unchanged	label is already primary
0043BEB0	0043C95B	cf_common_exit_0043C95B	unchanged	label is already primary
0043BEB0	0043CA31	cf_join_0043CA31	disabled	apply=0
0043BEB0	0043CA35	cf_common_exit_0043CA35	unchanged	label is already primary
0043BEB0	0043CA5A	cf_join_0043CA5A	disabled	apply=0
0043BEB0	0043CB5C	cf_common_exit_0043CB5C	unchanged	label is already primary
0043BEB0	0043CB81	cf_join_0043CB81	disabled	apply=0
0043BEB0	0043D1CE	cf_break_loop_0043D1CE	disabled	apply=0
0043BEB0	0043D41D	cf_join_0043D41D	disabled	apply=0
0043BEB0	0043D447	cf_join_0043D447	disabled	apply=0
0043BEB0	0043D581	cf_join_0043D581	disabled	apply=0
0043BEB0	0043D5A6	cf_join_0043D5A6	disabled	apply=0
0043BEB0	0043D5B1	cf_join_0043D5B1	disabled	apply=0
0043BEB0	0043D5B7	cf_join_0043D5B7	disabled	apply=0
0043BEB0	0043D5C4	cf_join_0043D5C4	disabled	apply=0
0043E640	0043E6D3	cf_join_0043E6D3	disabled	apply=0
0043E780	0043E85B	cf_join_0043E85B	disabled	apply=0
0043E780	0043E85D	cf_join_0043E85D	disabled	apply=0
0043E9A0	0043EB0F	cf_join_0043EB0F	disabled	apply=0
0043EC20	0043EDA0	cf_join_0043EDA0	disabled	apply=0
0043EED0	0043EFD6	cf_join_0043EFD6	disabled	apply=0
0043EED0	0043EFD8	cf_join_0043EFD8	disabled	apply=0
0043F130	0043F1A0	cf_join_0043F1A0	disabled	apply=0
