apply	owner	owner_type_path	field_offset	field_name	expected_field_type	element_size	element_type_path	descriptor_type_path	field_count	access_count	creation_sites	source_records	confidence	reason
0	STGroupBoatC	/STGroupBoatC	466	field_01D2	pointer:/SubmarineTitans/Recovered/DArrayTy	2	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_01D2Element	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_01D2DArray	0	0	00498D20 DArrayCreate elementSize=0x2		review	DArrayCreate element_size=0x2; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	470	field_01D6	pointer:/SubmarineTitans/Recovered/DArrayTy	2	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_01D6Element	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_01D6DArray	0	0	00498D20 DArrayCreate elementSize=0x2		review	DArrayCreate element_size=0x2; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	474	field_01DA	pointer:/SubmarineTitans/Recovered/DArrayTy	2	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_01DAElement	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_01DADArray	0	0	00498D20 DArrayCreate elementSize=0x2		review	DArrayCreate element_size=0x2; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	526	field_020E	pointer:/SubmarineTitans/Recovered/DArrayTy	4	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_020EElement	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_020EDArray	0	0	0049AAF0 DArrayCreate elementSize=0x4		review	DArrayCreate element_size=0x4; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	550	field_0226	pointer:/SubmarineTitans/Recovered/DArrayTy	6	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_0226Element	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_0226DArray	0	0	0049B7D0 DArrayCreate elementSize=0x6		review	DArrayCreate element_size=0x6; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	554	field_022A	pointer:/SubmarineTitans/Recovered/DArrayTy	14	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_022AElement	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_022ADArray	0	0	004A7490 DArrayCreate elementSize=0xE		review	DArrayCreate element_size=0xE; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	558	field_022E	pointer:/SubmarineTitans/Recovered/DArrayTy	22	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_022EElement	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_022EDArray	0	0	0049B7D0 DArrayCreate elementSize=0x16		review	DArrayCreate element_size=0x16; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	590	field_024E	pointer:/SubmarineTitans/Recovered/DArrayTy	2	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_024EElement	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_024EDArray	0	0	0049C210 DArrayCreate elementSize=0x2		review	DArrayCreate element_size=0x2; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STGroupBoatC	/STGroupBoatC	614	field_0266	pointer:/SubmarineTitans/Recovered/DArrayTy	2	/SubmarineTitans/Recovered/DArrayElements/STGroupBoatC_field_0266Element	/SubmarineTitans/Recovered/DArraySpecializations/STGroupBoatC_field_0266DArray	0	0	0049C210 DArrayCreate elementSize=0x2		review	DArrayCreate element_size=0x2; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; primitive/invalid element size; insufficient non-overlapping element evidence
0	STTorpC	/STTorpC	577	field_0241	pointer:/SubmarineTitans/Recovered/DArrayTy	8	/SubmarineTitans/Recovered/DArrayElements/STTorpC_field_0241Element	/SubmarineTitans/Recovered/DArraySpecializations/STTorpC_field_0241DArray	0	0	006406D0 DArrayCreate elementSize=0x8		review	DArrayCreate element_size=0x8; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
0	SettMapMTy	/SettMapMTy	8751	field_222F	pointer:/SubmarineTitans/Recovered/DArrayTy	4	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_222FElement	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_222FDArray	0	0	005D1400 DArrayCreate elementSize=0x4		review	DArrayCreate element_size=0x4; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; primitive/invalid element size; insufficient non-overlapping element evidence
