function_address	function_name	call_address	slot_offset	stack_parameter_count	last_ecx_assignment	receiver_register	exact_unadjusted_receiver	physical_vtable_paths	receiver_paths	physical_owners	caller_owner	machine_return	classification
0042D370	STAllPlayersC::SetActivityToObjs	0042D3F5	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/void	physical_vtable
0042D370	STAllPlayersC::SetActivityToObjs	0042D465	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042D370	STAllPlayersC::SetActivityToObjs	0042D48C	232	1	EAX	EAX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E318	44	0	ECX	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E362	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E3A9	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E3FD	44	0	ECX	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E447	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E48E	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E4BB	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E548	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E559	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E5A6	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
0042E210	STAllPlayersC::RegisterObject	0042E5F3	44	0	DWORD PTR [EBP + 0X14]	ECX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STAllPlayersC	/undefined4	physical_vtable
