apply	family_id	canonical_type	member_type	length	named_fields	evidence
0	EXACT_60F0F4F3DACC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00449E60_F2069C78	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00449E60_F2069C78	40	0	anonymous geometry match only; no named semantic anchor
0	EXACT_60F0F4F3DACC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00449E60_F2069C78	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0044A730_DBE673B2	40	0	anonymous geometry match only; no named semantic anchor
0	EXACT_60F0F4F3DACC	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00449E60_F2069C78	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0044AA20_1EE9340C	40	0	anonymous geometry match only; no named semantic anchor
0	EXACT_6AB8820437D4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006A58B0_8049417A	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006A58B0_8049417A	52	2	anonymous geometry match only; no named semantic anchor
0	EXACT_6AB8820437D4	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006A58B0_8049417A	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006A58B0_CDE73679	52	2	anonymous geometry match only; no named semantic anchor
0	EXACT_6B1210884B1E	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0040F220_06315B9F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0040F220_06315B9F	20	0	anonymous geometry match only; no named semantic anchor
0	EXACT_6B1210884B1E	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0040F220_06315B9F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0040F220_61B59860	20	0	anonymous geometry match only; no named semantic anchor
0	EXACT_6B6F72F86E91	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00567220_C9DD1C7D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00567220_C9DD1C7D	3984	0	anonymous geometry match only; no named semantic anchor
0	EXACT_6B6F72F86E91	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00567220_C9DD1C7D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005672E0_9A0A2ED1	3984	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7599A79B0E4E	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0071A990_7656000F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0071A990_7656000F	16	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7599A79B0E4E	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0071A990_7656000F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_007553F0_ACB112C2	16	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7A014DD4DC1B	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005F10D0_60EBA416	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005F10D0_60EBA416	16	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7A014DD4DC1B	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005F10D0_60EBA416	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0062CCA0_BAB34A07	16	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7A014DD4DC1B	/SubmarineTitans/Recovered/PointerShapes/AnonShape_005F10D0_60EBA416	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00630430_7FBC9B9C	16	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7AB397BD6524	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7AB397BD6524	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B1	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7AB397BD6524	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B5	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7AB397BD6524	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B9	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7AB397BD6524	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01AD	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7AB397BD6524	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B1	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7AB397BD6524	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B5	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_7AB397BD6524	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STGameObjC_01B9	12	0	anonymous geometry match only; no named semantic anchor
0	EXACT_807F114FE96F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0074B99C_A57FB945	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0074B99C_A57FB945	72	0	anonymous geometry match only; no named semantic anchor
0	EXACT_807F114FE96F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0074B99C_A57FB945	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0074BBC6_71B34D24	72	0	anonymous geometry match only; no named semantic anchor
0	EXACT_8E0ADF3D6951	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006BC580_F6F161A5	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006BC580_F6F161A5	72	0	anonymous geometry match only; no named semantic anchor
0	EXACT_8E0ADF3D6951	/SubmarineTitans/Recovered/PointerShapes/AnonShape_006BC580_F6F161A5	/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_00854EE8_A19F58CE	72	0	anonymous geometry match only; no named semantic anchor
0	EXACT_915718BF5BB9	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0195	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0195	20	0	anonymous geometry match only; no named semantic anchor
0	EXACT_915718BF5BB9	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0195	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0199	20	0	anonymous geometry match only; no named semantic anchor
