apply	function_address	expected_function	expected_signature	expected_signature_source	expected_calling_convention	expected_return_type	expected_return_source	expected_parameter_count	expected_parameter_name	expected_parameter_type	expected_parameter_source	proposed_calling_convention	proposed_return_type	proposed_parameter_name	proposed_parameter_type	shared_zero_stub	confidence	reason	evidence
0	0053EB70	SpecPanelTy::GetMessage	int __thiscall GetMessage(SpecPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401401|0053EB70; family_names=SpecPanelTy::GetMessage; ret4=6; direct_offsets={10:3,14:0,18:1,1c:1}
0	005400F0	ProdPanelTy::GetMessage	int __thiscall GetMessage(ProdPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004059D4|005400F0; family_names=ProdPanelTy::GetMessage; ret4=7; direct_offsets={10:1,14:0,18:1,1c:0}
0	00542F40	InterSystemC::GetMessage	int __thiscall GetMessage(InterSystemC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402A63|00542F40; family_names=InterSystemC::GetMessage; ret4=9; direct_offsets={10:2,14:0,18:3,1c:0}
0	005449B0	CursorClassTy::GetMessage	int __thiscall GetMessage(CursorClassTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=0040310C|005449B0; family_names=CursorClassTy::GetMessage; ret4=74; direct_offsets={10:10,14:8,18:6,1c:3}
0	0054E4F0	STPlaySystemC::GetMessage	int __thiscall GetMessage(STPlaySystemC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401244|0054E4F0; family_names=STPlaySystemC::GetMessage; ret4=3; direct_offsets={10:1,14:0,18:1,1c:0}
0	005522A0	TradePanelTy::GetMessage	int __thiscall GetMessage(TradePanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00403B3E|005522A0; family_names=TradePanelTy::GetMessage; ret4=10; direct_offsets={10:3,14:4,18:1,1c:0}
0	00552E40	UpgPanelTy::GetMessage	int __thiscall GetMessage(UpgPanelTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00403BAC|00552E40; family_names=UpgPanelTy::GetMessage; ret4=3; direct_offsets={10:1,14:0,18:0,1c:0}
0	005564C0	TraksClassTy::GetMessage	int __thiscall GetMessage(TraksClassTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401A23|005564C0; family_names=TraksClassTy::GetMessage; ret4=5; direct_offsets={10:2,14:1,18:0,1c:1}
0	00558840	VisibleClassTy::GetMessage	int __thiscall GetMessage(VisibleClassTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401D48|00558840; family_names=VisibleClassTy::GetMessage; ret4=2; direct_offsets={10:2,14:1,18:0,1c:1}
0	00566C20	SoundManagerTy::GetMessage	int __thiscall GetMessage(SoundManagerTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402531|00566C20; family_names=SoundManagerTy::GetMessage; ret4=2; direct_offsets={10:2,14:1,18:0,1c:5}
