apply	address	function	current_signature	current_calling_convention	signature_source	calls	direct_calls	thunk_calls	ecx_pointer_setup	ecx_scalar_setup	ecx_live_prior	ecx_unknown	caller_cleanup_calls	caller_cleanup_bytes	callee_ret_pop_bytes	expected_stack_bytes	incoming_ecx_used	exact_stack_argument_calls	classification	suggested_calling_convention	confidence	reason	error
0	00401B3B	thunk_FUN_00422e20	undefined __thiscall thunk_FUN_00422e20(void * this, byte param_1)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			4	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	00401B7C	thunk_FUN_005f05a0	undefined __thiscall thunk_FUN_005f05a0(void * this, ushort param_1, undefined2 param_2)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			8	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401BF9	thunk_FUN_004e9b10	undefined4 __thiscall thunk_FUN_004e9b10(void * this, RecoveredRecord_004E9B10_29E30AA9 * param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401C0D	thunk_FUN_005cbbe0	int __thiscall thunk_FUN_005cbbe0(void * this, AnonShape_005CBBE0_2D1CAA09 * param_1)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			4	0	0	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401C1C	thunk_FUN_004eb6d0	undefined4 __thiscall thunk_FUN_004eb6d0(void * this, int param_1, int param_2, int param_3, int param_4)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			16	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401C2B	thunk_FUN_004dbe00	undefined4 __thiscall thunk_FUN_004dbe00(void * this, RecoveredRecord_004DBE00_6A369FCE * param_1)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			4	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401C8F	thunk_FUN_006141b0	undefined4 __thiscall thunk_FUN_006141b0(void * this, int param_1, Global_sub_006141B0_param_2Enum param_2, int * param_3, int * param_4)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			16	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401CA3	thunk_FUN_0064e580	byte __thiscall thunk_FUN_0064e580(void * this, int param_1)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			4	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	00401CA8	thunk_FUN_0065bd20	undefined __thiscall thunk_FUN_0065bd20(void * this, byte param_1, ushort param_2, ushort param_3, ushort param_4, undefined4 param_5)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			20	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401CEE	thunk_FUN_00616280	int __thiscall thunk_FUN_00616280(void * this, int * param_1, int * param_2, int * param_3)	__thiscall	ANALYSIS	3	3	0	3	0	0	0	0			12	0	2	thiscall_supported	__thiscall	high	3 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401CF3	thunk_FUN_0063d460	void __thiscall thunk_FUN_0063d460(void * this, undefined4 param_1, undefined4 param_2, int param_3, int param_4)	__thiscall	ANALYSIS	3	3	0	3	0	0	0	0			16	0	3	thiscall_supported	__thiscall	high	3 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401D16	thunk_FUN_00640390	void __thiscall thunk_FUN_00640390(void * this, int param_1)	__thiscall	ANALYSIS	5	5	0	5	0	0	0	0			4	0	5	thiscall_supported	__thiscall	high	5 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401D2F	thunk_FUN_004de4f0	int __thiscall thunk_FUN_004de4f0(void * this, int param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401D6B	thunk_FUN_0062af90	undefined __thiscall thunk_FUN_0062af90(void * this, int param_1, int param_2, int param_3)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			12	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401D98	thunk_FUN_0056aa00	undefined __thiscall thunk_FUN_0056aa00(void * this, byte param_1, char param_2)	__thiscall	ANALYSIS	1	1	0	0	1	0	0	0			8	0	1	ecx_is_not_receiver_candidate		review	1 callsites place an immediate/zero value in ECX	-
0	00401DA2	thunk_FUN_0048d7c0	int __thiscall thunk_FUN_0048d7c0(void * this, STFishC * param_1)	__thiscall	ANALYSIS	3	3	0	3	0	0	0	0			4	0	3	thiscall_supported	__thiscall	high	3 callsites explicitly load ECX; no caller stack cleanup observed	-
0	00401DAC	thunk_FUN_00422ff0	undefined __thiscall thunk_FUN_00422ff0(void * this, byte param_1)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			4	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
