function_address	original_name	merge_group	anchor_address	anchor_kind	status	detail
005E1330	bVar32	0	005E149C	boolean_scalar_role	disabled	apply=0
005E1330	bVar32	1	005E169A	boolean_scalar_role	disabled	apply=0
005E1330	bVar32	2	005E1936	boolean_scalar_role	disabled	apply=0
005E1330	bVar32	3	005E2FD9	boolean_scalar_role	disabled	apply=0
005FB1F0	uVar3	3	005FB29B	signed_scalar_role	disabled	apply=0
005FB1F0	uVar8	0	005FB210	signed_scalar_role	disabled	apply=0
005FB1F0	uVar8	1	005FB227	signed_scalar_role	disabled	apply=0
005FB1F0	uVar8	2	005FB247	signed_scalar_role	disabled	apply=0
005FB1F0	uVar8	3	005FB2B1	signed_scalar_role	disabled	apply=0
00600750	uVar8	2	00600912	call_return	disabled	apply=0
00607200	uVar1	15	00607634	unsigned_scalar_role	disabled	apply=0
006101B0	uVar5	3	0061161E	call_return	disabled	apply=0
006132F0	uVar7	0	0061354E	call_return	disabled	apply=0
006132F0	uVar7	1	00613598	call_return	disabled	apply=0
00625730	uVar8	0	00625FF3	signed_scalar_role	disabled	apply=0
00633770	uVar10	19	00633FEB	signed_scalar_role	disabled	apply=0
00633770	uVar13	14	0063467D	signed_scalar_role	disabled	apply=0
00633770	uVar13	15	006346ED	signed_scalar_role	disabled	apply=0
00633770	uVar13	16	0063476C	signed_scalar_role	disabled	apply=0
00638CA0	uVar6	2	00638E63	call_return	disabled	apply=0
0063CB30	uVar3	0	0063CB90	signed_scalar_role	disabled	apply=0
0063CB30	uVar3	1	0063CBA5	signed_scalar_role	disabled	apply=0
0063CB30	uVar3	2	0063CBB9	signed_scalar_role	disabled	apply=0
006406D0	uVar17	183	006426E5	call_return	disabled	apply=0
0065E070	bVar13	1	0065E23A	boolean_scalar_role	disabled	apply=0
0066ACC0	bVar2	0	0066F1AF	boolean_scalar_role	disabled	apply=0
006736F0	bVar11	0	006737C2	boolean_scalar_role	disabled	apply=0
006736F0	bVar11	1	006738C7	boolean_scalar_role	disabled	apply=0
00678E00	bVar9	1	00678E6C	boolean_scalar_role	disabled	apply=0
0067C7E0	pCVar7	0	0067CA74	call_return	disabled	apply=0
0067C7E0	pCVar7	1	0067CA50	call_return	disabled	apply=0
0067DC20	_Source	0	0067DD50	call_argument	disabled	apply=0
0067E320	pCVar4	1	0067E389	call_return	disabled	apply=0
0067E320	pCVar4	2	0067E3C2	call_return	disabled	apply=0
0067E4A0	pCVar3	1	0067E4DF	call_return	disabled	apply=0
0067E580	pCVar3	1	0067E5D8	call_return	disabled	apply=0
0067E580	text	0	0067E5D8	call_argument	disabled	apply=0
0067E6B0	pCVar3	1	0067E708	call_return	disabled	apply=0
0067E6B0	text	0	0067E708	call_argument	disabled	apply=0
006800A0	bVar9	0	00680141	boolean_scalar_role	disabled	apply=0
006800A0	bVar9	1	006801AD	boolean_scalar_role	disabled	apply=0
00683C70	uVar8	19	0068A4D6	call_return	disabled	apply=0
00683C70	uVar8	20	00689A57	call_return	disabled	apply=0
00683C70	uVar8	21	00689D7E	call_return	disabled	apply=0
00692C10	pcVar8	1	00692DF8	typed_copy	disabled	apply=0
00692C10	pcVar8	4	00692E52	typed_copy	disabled	apply=0
00694780	local_c	0	006947F3	unsigned_scalar_role	disabled	apply=0
00696940	uVar6	0	006969FC	signed_scalar_role	disabled	apply=0
006971B0	uVar7	0	006972AE	signed_scalar_role	disabled	apply=0
006971B0	uVar7	1	0069729C	signed_scalar_role	disabled	apply=0
00697CF0	uVar11	0	00697E4C	signed_scalar_role	disabled	apply=0
00697CF0	uVar8	1	00698144	signed_scalar_role	disabled	apply=0
00697CF0	uVar8	5	006984B0	signed_scalar_role	disabled	apply=0
006991C0	uVar13	1	00699771	signed_scalar_role	disabled	apply=0
006991C0	uVar13	2	00699783	signed_scalar_role	disabled	apply=0
0069CB50	uVar14	4	0069CDAA	signed_scalar_role	disabled	apply=0
0069CB50	uVar14	37	0069DBF5	signed_scalar_role	disabled	apply=0
0069F160	local_2c	0	0069F3AD	signed_scalar_role	disabled	apply=0
0069F160	uVar4	3	0069F3A3	signed_scalar_role	disabled	apply=0
0069F5C0	uVar2	0	0069F5EC	signed_scalar_role	disabled	apply=0
0069F660	uVar7	0	0069F676	signed_scalar_role	disabled	apply=0
0069F660	uVar7	1	0069F682	signed_scalar_role	disabled	apply=0
006A0740	uVar4	3	006A087E	call_return	disabled	apply=0
006A5F20	uVar6	0	006A5F33	signed_scalar_role	disabled	apply=0
006A5F20	uVar6	1	006A5F62	signed_scalar_role	disabled	apply=0
006A5F20	uVar7	0	006A5F8A	signed_scalar_role	disabled	apply=0
006A6100	local_18	0	006A61B8	signed_scalar_role	disabled	apply=0
006A6100	uVar5	0	006A6113	signed_scalar_role	disabled	apply=0
006A6100	uVar5	1	006A6142	signed_scalar_role	disabled	apply=0
006A6100	uVar6	0	006A616A	signed_scalar_role	disabled	apply=0
006AADD0	uVar3	0	006AADDC	signed_scalar_role	disabled	apply=0
006AADD0	uVar3	1	006AADEB	signed_scalar_role	disabled	apply=0
006AADD0	uVar3	2	006AADFA	signed_scalar_role	disabled	apply=0
006AAE60	uVar3	0	006AAE6C	signed_scalar_role	disabled	apply=0
006AAE60	uVar3	1	006AAE7B	signed_scalar_role	disabled	apply=0
006AAE60	uVar3	2	006AAE8A	signed_scalar_role	disabled	apply=0
006ACF90	uVar3	0	006ACF9B	signed_scalar_role	disabled	apply=0
006ACF90	uVar3	1	006ACFAA	signed_scalar_role	disabled	apply=0
006ACFD0	uVar3	0	006ACFDB	signed_scalar_role	disabled	apply=0
006ACFD0	uVar3	1	006ACFEA	signed_scalar_role	disabled	apply=0
006AD0B0	uVar3	0	006AD0C3	signed_scalar_role	disabled	apply=0
