function_address	function	parameter_ordinal	parameter_name	current_type	direct_call_sites	byte_reads	byte_writes	bulk_transports	wide_dereferences	escapes	complete	apply	status	evidence
0041DC40	FUN_0041dc40	0	param_1	pointer:/undefined4	0	0	0	0	2	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=2, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041DCB3 MOV dword ptr [EDX],ESI operand=DWORD PTR [EDX] width=4 | 0041DCB7 MOV word ptr [EDX + 0x4],CX operand=WORD PTR [EDX + 0X4] width=2
00422210	STAllPlayersC::RestoreGObjData	1	param_1	pointer:/undefined4	0	0	0	1	4	0	0	0	incomplete_cfg_at_00422B86	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=1, wide_dereferences=4, escapes=0, failure=incomplete_cfg_at_00422B86; byte_read_sites=-; byte_write_sites=-; wide_sites=00422252 MOV ECX,dword ptr [EBX] operand=DWORD PTR [EBX] width=4 | 0042225A MOV DX,word ptr [EBX + 0x4] operand=WORD PTR [EBX + 0X4] width=2 | 00422262 MOV CX,word ptr [EBX + 0x6] operand=WORD PTR [EBX + 0X6] width=2 | 00422274 MOVSW ES:EDI,ESI string_width=2
0042B7D0	STAllPlayersC::AddObjsToGroup	4	param_4	pointer:/undefined2	0	0	0	0	0	0	0	0	incomplete_cfg_at_0042BA57	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_0042BA57; byte_read_sites=-; byte_write_sites=-
0042D980	STAllPlayersC::GetActiveCenter	2	param_2	pointer:/undefined2	0	0	0	0	1	0	0	0	incomplete_cfg_at_0042D9D7	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0, failure=incomplete_cfg_at_0042D9D7; byte_read_sites=-; byte_write_sites=-; wide_sites=0042DE68 MOV word ptr [EAX],0xffff operand=WORD PTR [EAX] width=2
0042D980	STAllPlayersC::GetActiveCenter	3	param_3	pointer:/undefined2	0	0	0	0	0	0	0	0	incomplete_cfg_at_0042D9D7	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=0, failure=incomplete_cfg_at_0042D9D7; byte_read_sites=-; byte_write_sites=-
0042DFE0	STAllPlayersC::PrepareToCmd	1	param_1	pointer:/undefined4	0	0	0	0	1	0	0	0	incomplete_cfg_at_0042E06E	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0, failure=incomplete_cfg_at_0042E06E; byte_read_sites=-; byte_write_sites=-; wide_sites=0042E007 MOV dword ptr [EAX],0x0 operand=DWORD PTR [EAX] width=4
0043E420	FUN_0043e420	0	param_1	pointer:/undefined4	0	0	0	1	0	0	1	0	no_byte_read	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=1, wide_dereferences=0, escapes=0; byte_read_sites=-; byte_write_sites=-
00442B40	STAllPlayersC::_SubMDObject	0	param_1	pointer:/undefined4	0	0	0	0	0	1	0	0	incomplete_cfg_at_00442BB2	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=0, escapes=1, failure=incomplete_cfg_at_00442BB2; byte_read_sites=-; byte_write_sites=-; escape_sites=00442B52 PUSH EBX alias passed on stack
004455C0	STAllPlayersC::CreateBoat	1	param_1	pointer:/undefined4	0	0	0	0	4	0	0	0	incomplete_cfg_at_0044580A	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=4, escapes=0, failure=incomplete_cfg_at_0044580A; byte_read_sites=-; byte_write_sites=-; wide_sites=004455FD CMP dword ptr [ESI + 0x4],0x7 operand=DWORD PTR [ESI + 0X4] width=4 | 00445642 MOV EAX,dword ptr [ESI + 0x14] operand=DWORD PTR [ESI + 0X14] width=4 | 0044568E MOV AX,word ptr [ESI + 0x1c] operand=WORD PTR [ESI + 0X1C] width=2 | 004456A0 MOV AX,word ptr [ESI + 0x1e] operand=WORD PTR [ESI + 0X1E] width=2
004458D0	STAllPlayersC::GetBoatWeaponInfo	1	param_2	pointer:/undefined4	0	0	0	0	1	0	0	0	incomplete_cfg_at_0044591F	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0, failure=incomplete_cfg_at_0044591F; byte_read_sites=-; byte_write_sites=-; wide_sites=0044592A MOV dword ptr [ECX],EAX operand=DWORD PTR [ECX] width=4
