create_apply	signature_apply	name_apply	representative	record_index	record_address	type_id	type_id_hex	enum_value_name	raw_factory_address	target_address	entry_bytes	current_name	current_name_source	current_signature	current_signature_source	current_return_type	proposed_name	proposed_return_type	owner	allocation_size	constructor_owners	confidence	reason
0	1	0	1	42	007CA870	773	0x0305	ST_OBJECT_CHOOSE_MAP	00405C8B	005B2790	E900CB1A00E95B230100E9F6D92600E9	CreateChooseMap	ANALYSIS	ChooseMapTy * __cdecl CreateChooseMap(void)	ANALYSIS	/ChooseMapTy *32	CreateChooseMap	ChooseMapTy *	ChooseMapTy	8388	SpriteClassTy	high	registry[42] at 007CA870 stores type 0x0305 and executable pointer 00405C8B; allocation size 8388 uniquely matches /ChooseMapTy; calls base/helper constructor(s) SpriteClassTy; exact derived allocation size wins
0	1	0	1	43	007CA878	774	0x0306	ST_OBJECT_SETT_MAP	00405745	005D77A0	E956201D00E931800100E92C6C0100E9	CreateSettMap	ANALYSIS	SettMapTy * __cdecl CreateSettMap(void)	ANALYSIS	/SettMapTy *32	CreateSettMap	SettMapTy *	SettMapTy	8700	SpriteClassTy	high	registry[43] at 007CA878 stores type 0x0306 and executable pointer 00405745; allocation size 8700 uniquely matches /SettMapTy; calls base/helper constructor(s) SpriteClassTy; exact derived allocation size wins
0	1	0	1	44	007CA880	779	0x030B	ST_OBJECT_SETT_MAP_M	00401AFF	005D4B40	E93C301D00E9A74B1F00E9D2FD2500E9	CreateSettMapM	ANALYSIS	SettMapMTy * __cdecl CreateSettMapM(void)	ANALYSIS	/SettMapMTy *32	CreateSettMapM	SettMapMTy *	SettMapMTy	8773	SpriteClassTy	high	registry[44] at 007CA880 stores type 0x030B and executable pointer 00401AFF; allocation size 8773 uniquely matches /SettMapMTy; calls base/helper constructor(s) SpriteClassTy; exact derived allocation size wins
0	1	0	1	45	007CA888	771	0x0303	ST_OBJECT_TYPE_0303	00402AA9	005B95B0	E9026B1B00E92D4C0E00E9E8F82900E9	FUN_005b95b0	DEFAULT	void * __cdecl FUN_005b95b0(void)	ANALYSIS	/void *32	CreateObjectType_0303	void *		7850	SpriteClassTy	review	registry[45] at 007CA888 stores type 0x0303 and executable pointer 00402AA9; allocation size 7850 has no unique current class-layout match
0	1	0	1	46	007CA890	776	0x0308	ST_OBJECT_M_ADV	0040423C	00590AD0	E98FC81800E9DAAC1300E975C51000E9	CreateMAdv	ANALYSIS	MAdvTy * __cdecl CreateMAdv(void)	ANALYSIS	/MAdvTy *32	CreateMAdv	MAdvTy *	MAdvTy	98		high	registry[46] at 007CA890 stores type 0x0308 and executable pointer 0040423C; allocation size 98 uniquely matches /MAdvTy
0	1	0	1	47	007CA898	777	0x0309	ST_OBJECT_TYPE_0309	0040181B	005D9F80	E960871D00E98B0D2900E966112200E9	FUN_005d9f80	DEFAULT	void * __cdecl FUN_005d9f80(void)	ANALYSIS	/void *32	CreateObjectType_0309	void *		7640	SpriteClassTy	review	registry[47] at 007CA898 stores type 0x0309 and executable pointer 0040181B; allocation size 7640 has no unique current class-layout match
0	1	0	1	48	007CA8A0	778	0x030A	ST_OBJECT_PRIVIDER	004051A0	005BD2E0	E93B811B00E906262300E9D1942000E9	CreatePrivider	ANALYSIS	PrividerTy * __cdecl CreatePrivider(void)	ANALYSIS	/PrividerTy *32	CreatePrivider	PrividerTy *	PrividerTy	7326	SpriteClassTy	high	registry[48] at 007CA8A0 stores type 0x030A and executable pointer 004051A0; allocation size 7326 uniquely matches /PrividerTy; calls base/helper constructor(s) SpriteClassTy; exact derived allocation size wins
0	1	0	1	49	007CA8A8	780	0x030C	ST_OBJECT_TYPE_030C	004045D4	005E6570	E9971F1E00E9E28D0A00E95D7D0100E9	FUN_005e6570	DEFAULT	void * __cdecl FUN_005e6570(void)	ANALYSIS	/void *32	CreateObjectType_030C	void *		180		review	registry[49] at 007CA8A8 stores type 0x030C and executable pointer 004045D4; allocation size 180 has no unique current class-layout match
0	1	0	1	50	007CA8B0	781	0x030D	ST_OBJECT_WAIT	00405268	005EAD30	E9C35A1E00E93E1C2900E989D32100E9	CreateWait	ANALYSIS	WaitTy * __cdecl CreateWait(void)	ANALYSIS	/WaitTy *32	CreateWait	WaitTy *	WaitTy	6916	SpriteClassTy	high	registry[50] at 007CA8B0 stores type 0x030D and executable pointer 00405268; allocation size 6916 uniquely matches /WaitTy; calls base/helper constructor(s) SpriteClassTy; exact derived allocation size wins
0	1	0	1	51	007CA8B8	782	0x030E	ST_OBJECT_FSGS	004038C8	005AA2C0	E9F3691A00E9CE281800E909292400E9	CreateFSGS	ANALYSIS	FSGSTy * __cdecl CreateFSGS(void)	ANALYSIS	/FSGSTy *32	CreateFSGS	FSGSTy *	FSGSTy	8387	SpriteClassTy	high	registry[51] at 007CA8B8 stores type 0x030E and executable pointer 004038C8; allocation size 8387 uniquely matches /FSGSTy; calls base/helper constructor(s) SpriteClassTy; exact derived allocation size wins
