item_kind	item_id	locator	status	detail
type	AnonNested_0074D042_00A8_3DC33D1A	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0074D042_00A8_3DC33D1A	disabled	apply=0
type	AnonShape_00402E14_6066CCF6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00402E14_6066CCF6	disabled	apply=0
type	AnonShape_00405687_DE2B7401	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00405687_DE2B7401	disabled	apply=0
type	AnonShape_00415160_AB16B45B	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00415160_AB16B45B	disabled	apply=0
type	AnonShape_00416330_34920DE3	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00416330_34920DE3	disabled	apply=0
type	AnonShape_00416350_3493D299	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00416350_3493D299	disabled	apply=0
type	AnonShape_00419C70_4C4EF73F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00419C70_4C4EF73F	disabled	apply=0
type	AnonShape_0041ACF0_B957F275	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041ACF0_B957F275	disabled	apply=0
type	AnonShape_0041AD80_C5A07513	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041AD80_C5A07513	disabled	apply=0
type	AnonShape_0041ADB0_6F854FCE	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041ADB0_6F854FCE	disabled	apply=0
type	AnonShape_0041AE10_A8F9262F	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041AE10_A8F9262F	disabled	apply=0
type	AnonShape_0041AE40_94C8F354	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041AE40_94C8F354	disabled	apply=0
type	AnonShape_0041DC40_3CBFFF27	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041DC40_3CBFFF27	disabled	apply=0
type	AnonShape_0041F330_8812DC99	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041F330_8812DC99	disabled	apply=0
type	AnonShape_0041F390_BF8EDA78	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041F390_BF8EDA78	disabled	apply=0
type	AnonShape_00423120_79B5B62D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423120_79B5B62D	disabled	apply=0
type	AnonShape_00423300_67884733	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423300_67884733	disabled	apply=0
type	AnonShape_00423320_ACC7D39D	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00423320_ACC7D39D	disabled	apply=0
