apply	name	value_hex	value_decimal	function_address	function	confidence	reason	strings
1	MESS_FSGSTY_6941	0x6941	26945	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_6949	0x6949	26953	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_694A	0x694A	26954	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage | 005D1400 SettMapMTy::GetMessage | 005D5560 SettMapSTy::GetMessage
1	MESS_FSGSTY_6957	0x6957	26967	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_698A	0x698A	27018	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_6992	0x6992	27026	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_FSGSTY_C0A1	0xC0A1	49313	005A4350	FSGSTy::GetMessage	high	existing_enum_catalog_value	handlers: 005A4350 FSGSTy::GetMessage
1	MESS_GAMESYSTEMC_43FF	0x43FF	17407	005776D0	GameSystemC::GetMessage	high	existing_enum_catalog_value	handlers: 005776D0 GameSystemC::GetMessage
1	MESS_GAMESYSTEMC_4400	0x4400	17408	005776D0	GameSystemC::GetMessage	high	existing_enum_catalog_value	handlers: 005776D0 GameSystemC::GetMessage
1	MESS_HITKILL	0x128	296	0044EE30	STBoatC::GetMessage	high	existing_enum_value	STBoatC::GetMessage MESS_HITKILL data.lname!=0 ptr=NULL | STBoatC::GetMessage MESS_ID_ALLCREATE data.lname!=0 | STBoatC::GetMessage MESS_ID_ALLCREATE sloi.name | STBoatC::GetMessage MESS_ID_CREATE FLAG_BASE PairObjectAvail()==FALSE | STBoatC::GetMessage MESS_TORPHIT data.lname!=0 ptr=NULL
1	MESS_ID_ALLCREATE	0x111	273	0044EE30	STBoatC::GetMessage	high	existing_enum_value	STBoatC::GetMessage MESS_HITKILL data.lname!=0 ptr=NULL | STBoatC::GetMessage MESS_ID_ALLCREATE data.lname!=0 | STBoatC::GetMessage MESS_ID_ALLCREATE sloi.name | STBoatC::GetMessage MESS_ID_CREATE FLAG_BASE PairObjectAvail()==FALSE | STBoatC::GetMessage MESS_TORPHIT data.lname!=0 ptr=NULL
1	MESS_ID_CREATE	0x2	2	0044EE30	STBoatC::GetMessage	high	existing_enum_value	STBoatC::GetMessage MESS_HITKILL data.lname!=0 ptr=NULL | STBoatC::GetMessage MESS_ID_ALLCREATE data.lname!=0 | STBoatC::GetMessage MESS_ID_ALLCREATE sloi.name | STBoatC::GetMessage MESS_ID_CREATE FLAG_BASE PairObjectAvail()==FALSE | STBoatC::GetMessage MESS_TORPHIT data.lname!=0 ptr=NULL
1	MESS_ID_CREATE	0x2	2	00495980	DumpClassC::GetMessage	high	existing_enum_value	DumpClassC::GetMessage - MESS_ID_CREATE | DumpClassC::GetMessage - MESS_ID_DONE
1	MESS_ID_MSGOK	0x63FF	25599	005A4350	FSGSTy::GetMessage	high	existing_enum_value	FSGSTy::GetMessage(MESS_ID_MSGOK, New Game)
1	MESS_ID_NONE	0x0	0	0041AF40	STGameObjC::GetMessage	high	existing_enum_value	STGameObjC::GetMessagge MESS_ID_NONE unknown game type
1	MESS_INPUTCLASSTY_0066	0x66	102	0071CA50	InputClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 0071CA50 InputClassTy::GetMessage
1	MESS_INTERCOMPANELTY_C0AF	0xC0AF	49327	00522E80	IntercomPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 00522E80 IntercomPanelTy::GetMessage
1	MESS_INTERSYSTEMC_B8FF	0xB8FF	47359	00542F40	InterSystemC::GetMessage	high	existing_enum_catalog_value	handlers: 00542F40 InterSystemC::GetMessage
