function_address	owner	field_offset	rendered_alias	status	detail
005CE0E0	SettMapMTy	8759	local_10	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
005D0150	SettMapMTy	8068	pcVar8	conflict	merge-group split failed: multiple DArray assignment varnodes
005D06C0	SettMapMTy	8068	pcVar3	conflict	merge-group split failed: multiple DArray assignment varnodes
005D0850	SettMapMTy	8068	pcVar2	conflict	merge-group split failed: multiple DArray assignment varnodes
005D0A20	SettMapMTy	8068	pcVar5	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
005D0BB0	SettMapMTy	8068	pcVar4	conflict	merge-group split failed: multiple DArray assignment varnodes
005D1100	SettMapMTy	8068	pcVar6	conflict	merge-group split failed: multiple DArray assignment varnodes
005D1400	SettMapMTy	7727	puVar16	conflict	merge-group split failed: multiple DArray assignment varnodes
005D1400	SettMapMTy	8068	pcVar27	conflict	merge-group split failed: multiple DArray assignment varnodes
005E1330	MTaskTy	116	piVar21	conflict	merge-group split failed: multiple DArray assignment varnodes
005F4FA0	STBHEShellC	361	pcVar8	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
0061F290	STLightC	163	piVar5	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
00631010	STManRuinC	56	psVar2	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
0068F020	AiTactClassTy	189	puVar7	conflict	merge-group split failed: multiple DArray assignment varnodes
00695F70	CGenerate	22611	pCVar1	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
006964F0	CGenerate	22611	piVar5	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
004EFFE0	BldLabPanelTy	634	local_8	unchanged	element-pointer type already applied
00555E80	TraksClassTy	36	psVar5	unchanged	element-pointer type already applied
00557C90	VisibleClassTy	272	pcVar8	unchanged	element-pointer type already applied
0055AB50	VisibleClassTy	244	piVar6	unchanged	element-pointer type already applied
005A3540	FSGSTy	7870	local_c	unchanged	element-pointer type already applied
005A3540	FSGSTy	7870	puVar5	unchanged	element-pointer type already applied
005A4350	FSGSTy	7870	puVar24	applied	pointer:/uint -> pointer:/SubmarineTitans/Recovered/DArrayElements/FSGSTy_field_1EBEElement; fresh HighFunction attached as puVar24
005A4350	FSGSTy	8115	puVar24	applied	pointer:/uint -> pointer:/SubmarineTitans/Recovered/DArrayElements/FSGSTy_field_1FB3Element; fresh HighFunction attached as local_ECX_14725
005C29B0	SettMapMTy	8060	puVar24	unchanged	element-pointer type already applied
005C29B0	SettMapMTy	8060	puVar29	unchanged	element-pointer type already applied
005CC2D0	SettMapMTy	8759	piVar2	unchanged	element-pointer type already applied
005CCE10	SettMapMTy	8068	pcVar11	unchanged	element-pointer type already applied
005CE0E0	SettMapMTy	8759	pAVar9	unchanged	element-pointer type already applied
005CFCD0	SettMapMTy	8068	pcVar5	unchanged	element-pointer type already applied
005CFF40	SettMapMTy	8068	pcVar4	unchanged	element-pointer type already applied
005D0150	SettMapMTy	8068	pAVar7	unchanged	element-pointer type already applied
005D0150	SettMapMTy	8068	pAVar8	unchanged	element-pointer type already applied
005D0150	SettMapMTy	8068	pcVar7	applied	pointer:/char -> pointer:/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element; fresh HighFunction attached as pcVar7
005D0A20	SettMapMTy	8068	pAVar7	unchanged	element-pointer type already applied
005D0ED0	SettMapMTy	8068	pcVar5	unchanged	element-pointer type already applied
005D0ED0	SettMapMTy	8068	pcVar8	unchanged	element-pointer type already applied
005D1100	SettMapMTy	8068	pAVar6	unchanged	element-pointer type already applied
005D1380	SettMapMTy	8068	pcVar3	unchanged	element-pointer type already applied
005D1400	SettMapMTy	8068	pAVar24	unchanged	element-pointer type already applied
005D1400	SettMapMTy	8068	pAVar28	unchanged	element-pointer type already applied
005D1400	SettMapMTy	8068	pcVar30	applied	pointer:/char -> pointer:/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element; fresh HighFunction attached as pcVar30
005F21D0	STManBasisC	56	psVar5	conflict	pointer:/short -> pointer:/SubmarineTitans/Recovered/DArrayElements/STManBasisC_field_0038Element; verification failed: database local attached to a different lifetime; fresh HighVariable does not contain anchor 005F21FD
005F4C50	STBHEShellC	361	pcVar3	unchanged	element-pointer type already applied
005F53A0	STBHEShellC	361	pcVar3	unchanged	element-pointer type already applied
005F5B80	STBHEShellC	361	pcVar4	unchanged	element-pointer type already applied
00609B90	STFieldC	564	puVar4	unchanged	element-pointer type already applied
00609CD0	STFieldC	564	puVar3	unchanged	element-pointer type already applied
00609D60	STFieldC	564	local_c	unchanged	element-pointer type already applied
0060C1A0	STFieldC	564	puVar3	unchanged	element-pointer type already applied
0061F530	STLightC	163	piVar2	unchanged	element-pointer type already applied
00630430	STManRuinC	60	puVar10	applied	pointer:/undefined4 -> pointer:/SubmarineTitans/Recovered/DArrayElements/STManRuinC_field_003CElement; fresh HighFunction attached as puVar10
00630AC0	STManRuinC	56	psVar3	unchanged	element-pointer type already applied
00631190	STManRuinC	56	psVar3	unchanged	element-pointer type already applied
00631450	STManRuinC	56	psVar4	unchanged	element-pointer type already applied
0063D280	STTmMineC	822	piVar6	unchanged	element-pointer type already applied
0063E160	STTmMineC	822	local_c	unchanged	element-pointer type already applied
0067B520	AiPlrClassTy	1697	pvVar10	unchanged	element-pointer type already applied
0068EC70	AiTactClassTy	189	puVar14	unchanged	element-pointer type already applied
00696940	CGenerate	22611	piVar7	unchanged	element-pointer type already applied
00696940	CGenerate	22611	piVar8	unchanged	element-pointer type already applied
00696DC0	CGenerate	22611	pAVar6	unchanged	element-pointer type already applied
00696DC0	CGenerate	22611	piVar1	unchanged	element-pointer type already applied
006971B0	CGenerate	22611	piVar3	unchanged	element-pointer type already applied
006975F0	CGenerate	22611	local_10	unchanged	element-pointer type already applied
006975F0	CGenerate	22611	piVar4	unchanged	element-pointer type already applied
006978C0	CGenerate	22611	local_8	unchanged	element-pointer type already applied
006978C0	CGenerate	22611	piVar9	unchanged	element-pointer type already applied
006988C0	CGenerate	22611	local_8	unchanged	element-pointer type already applied
