name_apply	convention_apply	parameter_apply	function_address	expected_name	expected_name_source	expected_signature	expected_signature_source	owner	proposed_name	table_address	store_address	returns_this	incoming_edx_uses	incoming_stack_parameter_uses	confidence	reason
1	1	1	005577C0	FUN_005577c0	DEFAULT	undefined4 * __fastcall FUN_005577c0(undefined4 * param_1)	ANALYSIS	VisibleClassTy	VisibleClassTy::VisibleClassTy	0079AEEC	005577C9	true	0	0	high	final_vptr=0079AEEC; returns_this=true; calls_before=1; field_writes_after=21; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
0	0	0	0055BD40	FUN_0055bd40	DEFAULT	CFsgsConnection * __thiscall FUN_0055bd40(void * this, byte param_1)	ANALYSIS	CFsgsConnection	CFsgsConnection::CFsgsConnection	0079AEFC	0055BD46	true	0	1	medium	final_vptr=0079AEFC; returns_this=true; calls_before=0; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=1; table_confidence=high
0	0	0	0056A5F0	STAppC::STAppC	ANALYSIS	undefined4 * __thiscall STAppC(STAppC * this, undefined4 param_1)	ANALYSIS	STAppC	STAppC::STAppC	0079B0A8	0056A67D	true	0	1	high	final_vptr=0079B0A8; returns_this=true; calls_before=2; field_writes_after=38; incoming_edx_uses=0; incoming_stack_parameter_uses=1; table_confidence=high; previously_applied
0	0	0	00576AA0	BaseSystemC::BaseSystemC	ANALYSIS	BaseSystemC * __thiscall BaseSystemC(BaseSystemC * this, AppClassTy * param_1)	ANALYSIS	BaseSystemC	BaseSystemC::BaseSystemC	0079B1B4	00576AB1	true	0	1	high	final_vptr=0079B1B4; returns_this=true; calls_before=1; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=1; table_confidence=high; previously_applied
0	0	0	00576DD0	GameSystemC::GameSystemC	ANALYSIS	GameSystemC * __thiscall GameSystemC(GameSystemC * this, AppClassTy * param_1)	ANALYSIS	GameSystemC	GameSystemC::GameSystemC	0079B1E0	00576DE1	true	0	1	high	final_vptr=0079B1E0; returns_this=true; calls_before=1; field_writes_after=2; incoming_edx_uses=0; incoming_stack_parameter_uses=1; table_confidence=high; previously_applied
0	0	0	005781C0	DebugSystemC::DebugSystemC	ANALYSIS	DebugSystemC * __thiscall DebugSystemC(DebugSystemC * this, AppClassTy * param_1)	ANALYSIS	DebugSystemC	DebugSystemC::DebugSystemC	0079B20C	005781D4	true	0	1	high	final_vptr=0079B20C; returns_this=true; calls_before=1; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=1; table_confidence=high; previously_applied
0	0	0	005785E0	STCrabC::STCrabC	ANALYSIS	STCrabC * __thiscall STCrabC(STCrabC * this)	ANALYSIS	STCrabC	STCrabC::STCrabC	0079B238	005785FC	true	0	0	high	final_vptr=0079B238; returns_this=true; calls_before=2; field_writes_after=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	0057BD20	STFishC::STFishC	ANALYSIS	STFishC * __thiscall STFishC(STFishC * this)	ANALYSIS	STFishC	STFishC::STFishC	0079B3C4	0057BD3C	true	0	0	high	final_vptr=0079B3C4; returns_this=true; calls_before=2; field_writes_after=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	0057F1D0	STDcResourcC::STDcResourcC	ANALYSIS	STDcResourcC * __thiscall STDcResourcC(STDcResourcC * this)	ANALYSIS	STDcResourcC	STDcResourcC::STDcResourcC	0079B528	0057F1F9	true	0	0	high	final_vptr=0079B528; returns_this=true; calls_before=2; field_writes_after=2; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	005810D0	STJellyManC::STJellyManC	ANALYSIS	STJellyManC * __thiscall STJellyManC(STJellyManC * this)	ANALYSIS	STJellyManC	STJellyManC::STJellyManC	0079B68C	005810E6	true	0	0	high	final_vptr=0079B68C; returns_this=true; calls_before=1; field_writes_after=4; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	005823D0	STJellyGunC::STJellyGunC	ANALYSIS	STJellyGunC * __thiscall STJellyGunC(STJellyGunC * this)	ANALYSIS	STJellyGunC	STJellyGunC::STJellyGunC	0079B78C	005823F9	true	0	0	high	final_vptr=0079B78C; returns_this=true; calls_before=2; field_writes_after=8; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	00584970	STLBombC::STLBombC	ANALYSIS	STLBombC * __thiscall STLBombC(STLBombC * this)	ANALYSIS	STLBombC	STLBombC::STLBombC	0079B8F0	00584999	true	0	0	high	final_vptr=0079B8F0; returns_this=true; calls_before=2; field_writes_after=12; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	005861F0	STMBombC::STMBombC	ANALYSIS	STMBombC * __thiscall STMBombC(STMBombC * this)	ANALYSIS	STMBombC	STMBombC::STMBombC	0079BA54	0058620C	true	0	0	high	final_vptr=0079BA54; returns_this=true; calls_before=2; field_writes_after=2; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	00589990	STOctopusC::STOctopusC	ANALYSIS	STOctopusC * __thiscall STOctopusC(STOctopusC * this)	ANALYSIS	STOctopusC	STOctopusC::STOctopusC	0079BBB8	005899B9	true	0	0	high	final_vptr=0079BBB8; returns_this=true; calls_before=2; field_writes_after=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	0058BA30	STSatC::STSatC	ANALYSIS	STSatC * __thiscall STSatC(STSatC * this)	ANALYSIS	STSatC	STSatC::STSatC	0079BD1C	0058BA59	true	0	0	high	final_vptr=0079BD1C; returns_this=true; calls_before=2; field_writes_after=5; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	0058D750	STSharkC::STSharkC	ANALYSIS	STSharkC * __thiscall STSharkC(STSharkC * this)	ANALYSIS	STSharkC	STSharkC::STSharkC	0079BE80	0058D77B	true	0	0	high	final_vptr=0079BE80; returns_this=true; calls_before=2; field_writes_after=3; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
0	0	0	005DA610	StartSystemTy::StartSystemTy	ANALYSIS	StartSystemTy * __thiscall StartSystemTy(StartSystemTy * this, undefined4 param_1)	ANALYSIS	StartSystemTy	StartSystemTy::StartSystemTy	0079C1E8	005DA668	true	0	1	high	final_vptr=0079C1E8; returns_this=true; calls_before=7; field_writes_after=31; incoming_edx_uses=0; incoming_stack_parameter_uses=1; table_confidence=high; previously_applied
0	0	0	005EC7E0	STSprGameObjC::STSprGameObjC	ANALYSIS	STSprGameObjC * __thiscall STSprGameObjC(STSprGameObjC * this)	ANALYSIS	STSprGameObjC	STSprGameObjC::STSprGameObjC	0079C3EC	005EC809	true	0	0	high	final_vptr=0079C3EC; returns_this=true; calls_before=2; field_writes_after=3; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high; previously_applied
1	1	1	005F1350	FUN_005f1350	DEFAULT	undefined4 * __fastcall FUN_005f1350(undefined4 * param_1)	ANALYSIS	STManBasisC	STManBasisC::STManBasisC	0079C580	005F1363	true	0	0	high	final_vptr=0079C580; returns_this=true; calls_before=1; field_writes_after=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; table_confidence=high
