apply	function_address	expected_function	target_kind	target_ordinal	expected_name	expected_storage	expected_type	expected_source	proposed_type	allow_manual_override	family_id	confidence	evidence
1	006B5EE0	FUN_006b5ee0	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006B84D0	FUN_006b84d0	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006C7570	FUN_006c7570	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006C7610	FUN_006c7610	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006C7F10	FUN_006c7f10	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006CEF60	FUN_006cef60	parameter	2	param_3	Stack[0xc]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006D0680	FUN_006d0680	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006D0680	FUN_006d0680	parameter	3	param_4	Stack[0x10]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006D0CF0	FUN_006d0cf0	parameter	3	param_4	Stack[0x10]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006D2820	FUN_006d2820	parameter	1	param_2	Stack[0x8]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006E6FB0	ST3DSMAPContext::sub_006E6FB0	parameter	1	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006E83F0	FUN_006e83f0	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	0070C900	FUN_0070c900	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	00749841	FUN_00749841	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	007527A0	FUN_007527a0	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	00752CF0	FUN_00752cf0	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
