address	name	current_type	call_boundary_types	trusted_pointer_return_store_types	constructor_store_types	address_of_uses	proposed_type	type_apply	call_boundary_sites	trusted_store_sites
0079B0DC	PTR_s_AIKEYS_PLAYER_0079b0dc	pointer:/char	{pointer:/char=2}	{}	{}	0		0	00572510 -> 006F1CE0 parameter 2 as pointer:/char @ 005726A7 (global value) | 00572BA0 -> 006F13F0 parameter 2 as pointer:/char @ 00572C44 (global value)	-
0079B0E0	PTR_s_SYSKEYS_PLAYER_0079b0e0	pointer:/char	{pointer:/char=2}	{}	{}	0		0	00572510 -> 006F1CE0 parameter 2 as pointer:/char @ 005726C6 (global value) | 00572BA0 -> 006F13F0 parameter 2 as pointer:/char @ 00572C87 (global value)	-
0079B0E4	PTR_s_MOUKEYS_PLAYER_0079b0e4	pointer:/char	{pointer:/char=2}	{}	{}	0		0	00572510 -> 006F1CE0 parameter 2 as pointer:/char @ 005726E5 (global value) | 00572BA0 -> 006F13F0 parameter 2 as pointer:/char @ 00572CA5 (global value)	-
0079B0E8	PTR_s_LASTLOG_0079b0e8	pointer:/char	{pointer:/char=2}	{}	{}	0		0	00572510 -> 006F1CE0 parameter 2 as pointer:/char @ 00572723 (global value) | 00572920 -> 006F13F0 parameter 2 as pointer:/char @ 00572A89 (global value)	-
0079B0EC	PTR_s_LASTPSW_0079b0ec	pointer:/char	{pointer:/char=2}	{}	{}	0		0	00572510 -> 006F1CE0 parameter 2 as pointer:/char @ 0057277F (global value) | 00572920 -> 006F13F0 parameter 2 as pointer:/char @ 00572AA8 (global value)	-
0079B1A0	PTR_s_SAVE_DESC_0079b1a0	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005776D0 -> 006F1CE0 parameter 2 as pointer:/char @ 005778D9 (global value)	-
0079B1A4	PTR_s_DESCRIPTOR_0079b1a4	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005776D0 -> 006F1CE0 parameter 2 as pointer:/char @ 005778B6 (global value)	-
0079B1A8	PTR_s_ANIM_PALETTE_0079b1a8	pointer:/char	{pointer:/char=1}	{}	{}	0		0	00576EF0 -> 00725550 parameter 1 as pointer:/char @ 00576FF8 (global value)	-
0079C064	PTR_s_MISSION_0079c064	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005AE050 -> 006F1CE0 parameter 2 as pointer:/char @ 005AE3F9 (global value) | 005AFD00 -> 006F1CE0 parameter 2 as pointer:/char @ 005B01A3 (global value)	-
0079C070	PTR_s_SAVE_DESC_0079c070	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005AFD00 -> 006F1CE0 parameter 2 as pointer:/char @ 005B043B (global value)	-
0079C074	PTR_s_OBJECTIVES_0079c074	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005AE050 -> 0071AA10 parameter 1 as pointer:/char @ 005AE3C8 (global value) | 005AFD00 -> 0071AA10 parameter 1 as pointer:/char @ 005B015F (global value)	-
0079C078	PTR_s_DESCRIPTOR_0079c078	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005AFD00 -> 006F1CE0 parameter 2 as pointer:/char @ 005B04A2 (global value)	-
0079C0F8	PTR_s_GENERATE_RND_0079c0f8	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005C8200 -> 006F1CE0 parameter 2 as pointer:/char @ 005C84B5 (global value)	-
0079C0FC	PTR_s_INTERFACE_RND_0079c0fc	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005C8200 -> 006F1CE0 parameter 2 as pointer:/char @ 005C84F4 (global value)	-
0079C104	PTR_s_TITLE_MISSION_0079c104	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005C7800 -> 006F1CE0 parameter 2 as pointer:/char @ 005C7E25 (global value) | 005C8200 -> 006F1CE0 parameter 2 as pointer:/char @ 005C8447 (global value)	-
0079C108	PTR_s_DESCRIPTION_0079c108	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005C7800 -> 0071AA10 parameter 1 as pointer:/char @ 005C7D9D (global value) | 005C8200 -> 0071AA10 parameter 1 as pointer:/char @ 005C83C1 (global value)	-
0079C10C	PTR_s_OBJECTIVES_0079c10c	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005C7800 -> 0071AA10 parameter 1 as pointer:/char @ 005C7DDC (global value) | 005C8200 -> 0071AA10 parameter 1 as pointer:/char @ 005C83FF (global value)	-
0079C110	PTR_s_DESCRIPTOR_0079c110	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005C7800 -> 006F1CE0 parameter 2 as pointer:/char @ 005C7D21 (global value) | 005C8200 -> 006F1CE0 parameter 2 as pointer:/char @ 005C832B (global value)	-
0079C114	PTR_s_SMALL_MAP_0079c114	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005C7800 -> 0070A5A0 parameter 2 as pointer:/char @ 005C7CAD (global value) | 005C8200 -> 0070A5A0 parameter 2 as pointer:/char @ 005C82BB (global value)	-
0079C1A4	PTR_s_OPTIONS_PLAYER_0079c1a4	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005D8BF0 -> 006F21C0 parameter 2 as pointer:/char @ 005D8E62 (global value)	-
0079C1C8	PTR_s_SAVE_PLAYER_0079c1c8	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005DB030 -> 006F1CE0 parameter 2 as pointer:/char @ 005DB136 (global value) | 005DC050 -> 006F1CE0 parameter 2 as pointer:/char @ 005DC1C8 (global value)	-
0079C1CC	PTR_s_TITLE_MISSION_0079c1cc	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005DC050 -> 006F1CE0 parameter 2 as pointer:/char @ 005DC20B (global value)	-
0079C1D0	PTR_s_DESCRIPTION_0079c1d0	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005DC050 -> 0071AA10 parameter 1 as pointer:/char @ 005DC119 (global value) | 005DC730 -> 0071AA10 parameter 1 as pointer:/char @ 005DC788 (global value)	-
0079C1D4	PTR_s_OBJECTIVES_0079c1d4	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005DC050 -> 0071AA10 parameter 1 as pointer:/char @ 005DC151 (global value)	-
0079C1D8	PTR_s_DESCRIPTOR_0079c1d8	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005DB030 -> 006F1CE0 parameter 2 as pointer:/char @ 005DB10E (global value) | 005DC050 -> 006F1CE0 parameter 2 as pointer:/char @ 005DC18F (global value)	-
0079C1DC	PTR_s_SMALL_MAP_0079c1dc	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005DC050 -> 0070A5A0 parameter 2 as pointer:/char @ 005DC0C2 (global value)	-
0079C218	PTR_s_TITLE_MISSION_0079c218	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005DFA30 -> 006F1CE0 parameter 2 as pointer:/char @ 005DFB9E (global value)	-
0079C21C	PTR_s_DESCRIPTION_0079c21c	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005DFA30 -> 0071AA10 parameter 1 as pointer:/char @ 005DFB1D (global value)	-
0079C220	PTR_s_OBJECTIVES_0079c220	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005DFA30 -> 0071AA10 parameter 1 as pointer:/char @ 005DFB58 (global value)	-
0079C57C	PTR_s_BASIS_MAN_0079c57c	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005F10D0 -> 0054D550 parameter 1 as pointer:/char @ 005F1236 (global value) | 005F10D0 -> 006F2D90 parameter 1 as pointer:/char @ 005F1155 (global value)	-
0079D080	PTR_s_RUBBISH_3_0079d080	pointer:/char	{pointer:/char=2}	{}	{}	0		0	0062CCA0 -> 0054D550 parameter 1 as pointer:/char @ 0062CD19 (global value) | 0062CCA0 -> 006F2D90 parameter 1 as pointer:/char @ 0062CD82 (global value)	-
0079D614	PTR_s_AIBOSS_0079d614	pointer:/char	{pointer:/char=1}	{}	{}	0		0	00648030 -> 0054D550 parameter 1 as pointer:/char @ 0064811E (global value)	-
0079D660	PTR_s_AIPLAYER_0079d660	pointer:/char	{pointer:/char=1}	{}	{}	0		0	00648FE0 -> 006F2C00 parameter 0 as pointer:/char @ 00649255 (global value)	-
