repair_apply	owner_apply	convention_apply	this_type_apply	parameter_apply	address	expected_name	expected_name_source	expected_signature	expected_signature_source	expected_calling_convention	owner	proposed_name	owner_type_path	agreed_this_calls	receiver_accesses	incoming_edx_uses	incoming_stack_parameter_uses	owner_call_counts	call_sites	direct_callers	receiver_alias_callers	attributed_callers	confidence	reason
0	0	0	0	0	00580FA0	FUN_00580fa0	DEFAULT	undefined __stdcall FUN_00580fa0(void)	ANALYSIS	__stdcall	STResourceC	STResourceC::sub_00580FA0	/STResourceC	1	0	0	0	{STResourceC=1}	0057E061 STResourceC::SetResource	0	0	1	medium	this_call_owners=[STResourceC]; agreed_this_calls=1; incoming_this_accesses=0; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; calling_convention_not_receiver_compatible
0	0	0	0	0	00582530	STJellyGunC::sub_00582530	ANALYSIS	undefined __thiscall sub_00582530(STJellyGunC * this)	ANALYSIS	__thiscall	STJellyGunC	STJellyGunC::sub_00582530	/STJellyGunC	3	2	0	0	{STJellyGunC=3}	00582728 STJellyGunC::LifeGun | 00582906 STJellyGunC::LifeGun | 00582C0A STJellyGunC::LifeGun	0	0	1	high	this_call_owners=[STJellyGunC]; agreed_this_calls=3; incoming_this_accesses=2; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	00582580	STJellyGunC::sub_00582580	ANALYSIS	undefined __thiscall sub_00582580(STJellyGunC * this)	ANALYSIS	__thiscall	STJellyGunC	STJellyGunC::sub_00582580	/STJellyGunC	2	1	0	0	{STJellyGunC=2}	0058295A STJellyGunC::LifeGun | 00582E4C STJellyGunC::LifeGun	0	0	1	high	this_call_owners=[STJellyGunC]; agreed_this_calls=2; incoming_this_accesses=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	00583E30	STJellyGunC::sub_00583E30	ANALYSIS	int __thiscall sub_00583E30(STJellyGunC * this)	ANALYSIS	__thiscall	STJellyGunC	STJellyGunC::sub_00583E30	/STJellyGunC	2	8	0	0	{STJellyGunC=2}	005827BD STJellyGunC::LifeGun | 005829F6 STJellyGunC::LifeGun	0	0	1	high	this_call_owners=[STJellyGunC]; agreed_this_calls=2; incoming_this_accesses=8; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	00584060	STJellyGunC::sub_00584060	ANALYSIS	undefined4 __thiscall sub_00584060(STJellyGunC * this, int * param_1, int * param_2, int * param_3)	ANALYSIS	__thiscall	STJellyGunC	STJellyGunC::sub_00584060	/STJellyGunC	1	3	0	6	{STJellyGunC=1}	00583E5A STJellyGunC::sub_00583E30	0	0	1	high	this_call_owners=[STJellyGunC]; agreed_this_calls=1; incoming_this_accesses=3; incoming_edx_uses=0; incoming_stack_parameter_uses=6; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	00584380	STJellyGunC::sub_00584380	ANALYSIS	undefined4 __thiscall sub_00584380(STJellyGunC * this)	ANALYSIS	__thiscall	STJellyGunC	STJellyGunC::sub_00584380	/STJellyGunC	2	5	0	0	{STJellyGunC=2}	0058276C STJellyGunC::LifeGun | 00582C64 STJellyGunC::LifeGun	0	0	1	high	this_call_owners=[STJellyGunC]; agreed_this_calls=2; incoming_this_accesses=5; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	005844E0	STJellyGunC::sub_005844E0	ANALYSIS	undefined __thiscall sub_005844E0(STJellyGunC * this, int param_1, int param_2, int soundId)	ANALYSIS	__thiscall	STJellyGunC	STJellyGunC::sub_005844E0	/STJellyGunC	2	1	0	3	{STJellyGunC=2}	00582721 STJellyGunC::LifeGun | 00582C5D STJellyGunC::LifeGun	0	0	1	high	this_call_owners=[STJellyGunC]; agreed_this_calls=2; incoming_this_accesses=1; incoming_edx_uses=0; incoming_stack_parameter_uses=3; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	0058EFE0	FUN_0058efe0	DEFAULT	undefined __fastcall FUN_0058efe0(void * param_1)	ANALYSIS	__fastcall	STSharkC	STSharkC::sub_0058EFE0	/STSharkC	1	1	0	0	{STSharkC=1}	0058E6B6 STSharkC::LifeShark	0	0	1	medium	this_call_owners=[STSharkC]; agreed_this_calls=1; incoming_this_accesses=1; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate
0	0	0	0	0	0058F430	STSharkC::sub_0058F430	ANALYSIS	int __thiscall sub_0058F430(STSharkC * this)	ANALYSIS	__thiscall	STSharkC	STSharkC::sub_0058F430	/STSharkC	1	16	0	0	{STSharkC=1}	0058E799 STSharkC::LifeShark	0	0	1	high	this_call_owners=[STSharkC]; agreed_this_calls=1; incoming_this_accesses=16; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
0	0	0	0	0	005DA910	StartSystemTy::sub_005DA910	ANALYSIS	undefined __thiscall sub_005DA910(StartSystemTy * this)	ANALYSIS	__thiscall	StartSystemTy	StartSystemTy::sub_005DA910	/StartSystemTy	1	2	0	0	{StartSystemTy=1}	005DCE4A StartSystemTy::~StartSystemTy	0	0	1	high	this_call_owners=[StartSystemTy]; agreed_this_calls=1; incoming_this_accesses=2; incoming_edx_uses=0; incoming_stack_parameter_uses=0; direct_non_thunk_callers=0; incoming_ecx_receiver_callers=0; attributed_named_callers=1; owner_evidence_coverage=adequate; previously_applied
