function_address	function	call_address	table_register	slot_offset	observed_pushes	last_ecx_assignment	instruction
005DB4F0	StartSystemTy::LoadGraph	005DB8BF	EAX	4	5	EDI	CALL dword ptr [EAX + 0x4]
005DB4F0	StartSystemTy::LoadGraph	005DBAC2	EAX	4	5	EDI	CALL dword ptr [EAX + 0x4]
005DB4F0	StartSystemTy::LoadGraph	005DBB0F	EAX	4	5	EDI	CALL dword ptr [EAX + 0x4]
005DCD90	StartSystemTy::CreateSystemObjects	005DCD99	EAX	16	2		CALL dword ptr [EAX + 0x10]
005DCE90	StartSystemTy::GetMessage	005DCF83	EAX	8	5	EBX	CALL dword ptr [EAX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DCFA8	EDX	8	5	EBX	CALL dword ptr [EDX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DCFC7	EAX	8	5	EBX	CALL dword ptr [EAX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DCFE1	EDX	8	5	EBX	CALL dword ptr [EDX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD08E	EDX	8	5	EBX	CALL dword ptr [EDX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD0C2	EAX	8	5	EBX	CALL dword ptr [EAX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD0EB	EDX	8	5	EBX	CALL dword ptr [EDX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD142	EDX	8	5	EBX	CALL dword ptr [EDX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD16B	EAX	8	5	EBX	CALL dword ptr [EAX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD194	EDX	8	5	EBX	CALL dword ptr [EDX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD1E8	EAX	8	5	EBX	CALL dword ptr [EAX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD211	EDX	8	5	EBX	CALL dword ptr [EDX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD23A	EAX	8	5	EBX	CALL dword ptr [EAX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD260	EDX	8	5	EBX	CALL dword ptr [EDX + 0x8]
005DCE90	StartSystemTy::GetMessage	005DD2B4	EAX	24	1	EBX	CALL dword ptr [EAX + 0x18]
005DDC70	StartSystemTy::CreateBinDesc	005DDE9F	EAX	8	5	EBX	CALL dword ptr [EAX + 0x8]
005DE270	StartSystemTy::CreateChatView	005DE43E	EDX	8	5	EBX	CALL dword ptr [EDX + 0x8]
005DFA30	MTaskTy::InitMTask	005DFE6B	EDX	4	5	EDI	CALL dword ptr [EDX + 0x4]
005DFA30	MTaskTy::InitMTask	005DFEC2	EAX	4	5	EDI	CALL dword ptr [EAX + 0x4]
005DFA30	MTaskTy::InitMTask	005DFF17	EDX	4	5	EDI	CALL dword ptr [EDX + 0x4]
005DFA30	MTaskTy::InitMTask	005DFFB2	EAX	4	5	EDI	CALL dword ptr [EAX + 0x4]
005DFA30	MTaskTy::InitMTask	005E0007	EDX	4	5	EDI	CALL dword ptr [EDX + 0x4]
005DFA30	MTaskTy::InitMTask	005E005E	EAX	4	5	EDI	CALL dword ptr [EAX + 0x4]
005E1330	MTaskTy::PlayScript	005E217E	EDX	8	5	DWORD PTR [EBX + 0XC]	CALL dword ptr [EDX + 0x8]
005E1330	MTaskTy::PlayScript	005E27CB	EAX	8	5	DWORD PTR [EBX + 0XC]	CALL dword ptr [EAX + 0x8]
005E4180	MTaskTy::CreateBut	005E4249	EAX	8	5	DWORD PTR [ECX + 0XC]	CALL dword ptr [EAX + 0x8]
005E84D0	WaitTy::NoneWait	005E8DF1	EDX	8	0	EBX	CALL dword ptr [EDX + 0x8]
005E84D0	WaitTy::NoneWait	005E91FF	EAX	0	1	EBX	CALL dword ptr [EAX]
005E84D0	WaitTy::NoneWait	005E9293	EAX	0	1	EBX	CALL dword ptr [EAX]
005E9970	FUN_005e9970	005E99AD	EDX	24	1	DWORD PTR [ESI + 0XC]	CALL dword ptr [EDX + 0x18]
005E9970	FUN_005e9970	005E99D3	EDX	24	1	DWORD PTR [ESI + 0XC]	CALL dword ptr [EDX + 0x18]
005E9970	FUN_005e9970	005E9A00	EDX	24	1	DWORD PTR [ESI + 0XC]	CALL dword ptr [EDX + 0x18]
005E9A40	FUN_005e9a40	005E9A7D	EDX	24	1	DWORD PTR [ESI + 0XC]	CALL dword ptr [EDX + 0x18]
005E9B50	WaitTy::CreateCtrls	005E9C8F	EDX	8	5	DWORD PTR [ESI + 0XC]	CALL dword ptr [EDX + 0x8]
005EA680	WaitTy::GetMessage	005EA9BA	EDX	8	0	EBX	CALL dword ptr [EDX + 0x8]
005EAF10	STArtiafactC::GetMessage	005EB546	EDX	292	1	ESI	CALL dword ptr [EDX + 0x124]
005EAF10	STArtiafactC::GetMessage	005EB612	EAX	172	1	ESI	CALL dword ptr [EAX + 0xac]
005EAF10	STArtiafactC::GetMessage	005EB637	EDX	292	1	ESI	CALL dword ptr [EDX + 0x124]
005EAF10	STArtiafactC::GetMessage	005EB7E3	EAX	0	0		CALL dword ptr [EAX]
005EAF10	STArtiafactC::GetMessage	005EB90F	EDX	216	0	EBX	CALL dword ptr [EDX + 0xd8]
005EBD80	FUN_005ebd80	005EC00E	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
005EBD80	FUN_005ebd80	005EC02D	EAX	276	1	EDI	CALL dword ptr [EAX + 0x114]
005EBD80	FUN_005ebd80	005EC043	EDX	280	1	EDI	CALL dword ptr [EDX + 0x118]
005EC6A0	FUN_005ec6a0	005EC70F	EAX	0	1	DWORD PTR [0X008117BC]	CALL dword ptr [EAX]
005EDA50	FUN_005eda50	005EDAF9	EDX	296	0	ESI	CALL dword ptr [EDX + 0x128]
005EDA50	FUN_005eda50	005EDB11	EAX	44	0	EDI	CALL dword ptr [EAX + 0x2c]
005EDA50	FUN_005eda50	005EDB3B	EDX	12	0	ESI	CALL dword ptr [EDX + 0xc]
005EDC20	FUN_005edc20	005EDCBE	EDX	44	0	EDI	CALL dword ptr [EDX + 0x2c]
005EDC20	FUN_005edc20	005EDCCF	EAX	44	0	EDI	CALL dword ptr [EAX + 0x2c]
005EDC20	FUN_005edc20	005EDD5F	EAX	312	3	ESI	CALL dword ptr [EAX + 0x138]
005EDC20	FUN_005edc20	005EDD6A	EDX	304	1	ESI	CALL dword ptr [EDX + 0x130]
005EE670	FUN_005ee670	005EE67A	EAX	292	2		CALL dword ptr [EAX + 0x124]
005EEFF0	FUN_005eeff0	005EF149	EDX	216	0	ESI	CALL dword ptr [EDX + 0xd8]
005EEFF0	FUN_005eeff0	005EF308	EDX	216	0	ESI	CALL dword ptr [EDX + 0xd8]
005EFA90	FUN_005efa90	005EFAA6	EAX	172	2		CALL dword ptr [EAX + 0xac]
005F00B0	FUN_005f00b0	005F00CF	EDX	44	3		CALL dword ptr [EDX + 0x2c]
005F00B0	FUN_005f00b0	005F00D9	EAX	12	0	ESI	CALL dword ptr [EAX + 0xc]
005F00B0	FUN_005f00b0	005F00ED	EDX	116	1	ESI	CALL dword ptr [EDX + 0x74]
005F00B0	FUN_005f00b0	005F0106	EAX	124	0	ESI	CALL dword ptr [EAX + 0x7c]
005F0150	FUN_005f0150	005F0159	EAX	44	3		CALL dword ptr [EAX + 0x2c]
005F0150	FUN_005f0150	005F0165	EDX	12	0	ESI	CALL dword ptr [EDX + 0xc]
005F0150	FUN_005f0150	005F01A6	EAX	308	0	ESI	CALL dword ptr [EAX + 0x134]
005F0150	FUN_005f0150	005F01B3	EDX	316	0	ESI	CALL dword ptr [EDX + 0x13c]
005F0150	FUN_005f0150	005F01C6	EDX	308	0	ESI	CALL dword ptr [EDX + 0x134]
005F0150	FUN_005f0150	005F01D3	EAX	312	0	ESI	CALL dword ptr [EAX + 0x138]
005F0150	FUN_005f0150	005F01E0	EDX	316	0	ESI	CALL dword ptr [EDX + 0x13c]
005F0240	FUN_005f0240	005F0253	EAX	44	3		CALL dword ptr [EAX + 0x2c]
005F0240	FUN_005f0240	005F025D	EDX	12	0	ESI	CALL dword ptr [EDX + 0xc]
005F0280	FUN_005f0280	005F0293	EAX	44	3		CALL dword ptr [EAX + 0x2c]
