apply	function_address	function_name	parameter_ordinal	expected_name	expected_storage	expected_type	expected_source	proposed_type	shape_id	confidence	reason
1	00493D10	FUN_00493d10	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00493D10_P0	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00493D10_P0	CallableReceiver_00493D10_P0	high	exact unadjusted parameter receiver at every retained CALLIND; dense function-local table family; sites=41; slots=1; exact_extent=1785
0	004B31C0	FUN_004b31c0	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_004B31C0_F3AB8C37	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004B31C0_P0	CallableReceiver_004B31C0_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=4; slots=1; exact_extent=1234
0	004B7D90	FUN_004b7d90	0	param_1	ECX:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004B7D90_P0	CallableReceiver_004B7D90_P0	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=1234
0	004B7DE0	FUN_004b7de0	0	param_1	ECX:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004B7DE0_P0	CallableReceiver_004B7DE0_P0	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=1234
0	004C21A0	FUN_004c21a0	2	param_2	Stack[0x8]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004C21A0_P2	CallableReceiver_004C21A0_P2	review	receiver family is not dense enough for a persistent structural view; sites=7; slots=2; exact_extent=38
0	004C5350	STGameObjC::sub_004C5350	2	param_2	Stack[0x8]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004C5350_P2	CallableReceiver_004C5350_P2	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=42
0	004C6070	FUN_004c6070	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_004C6070_F5B707F0	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004C6070_P0	CallableReceiver_004C6070_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=583
0	004CC370	FUN_004cc370	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004CC370_A3AEA85C	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004CC370_P0	CallableReceiver_004CC370_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=3; slots=2; exact_extent=1561
0	004CD480	FUN_004cd480	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004CC900_A43E8B7C	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004CD480_P0	CallableReceiver_004CD480_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=3; slots=1; exact_extent=1130
0	004D6C90	TLOEmbryoTy::vfunc_28	2	param_2	Stack[0x8]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004D6C90_P2	CallableReceiver_004D6C90_P2	review	receiver family is not dense enough for a persistent structural view; sites=2; slots=1; exact_extent=38
0	004D6F70	FUN_004d6f70	0	param_1	ECX:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004D6F70_P0	CallableReceiver_004D6F70_P0	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=38
0	004D7040	FUN_004d7040	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_004D7040_D83D570C	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004D7040_P0	CallableReceiver_004D7040_P0	review	exact unadjusted parameter receiver at every retained CALLIND; dense function-local table family; a slot argument carries an unresolved incoming register ABI; concrete parameter type preserved; sites=13; slots=6; exact_extent=283
0	004D7270	FUN_004d7270	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004D7270_E82BF26F	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004D7270_P0	CallableReceiver_004D7270_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=3; slots=2; exact_extent=583
0	004D9000	FUN_004d9000	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004D9000_7F89BF8E	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004D9000_P0	CallableReceiver_004D9000_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=1537
0	004D9C80	FUN_004d9c80	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004D9C80_63C53606	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004D9C80_P0	CallableReceiver_004D9C80_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=1537
0	004DBB60	FUN_004dbb60	1	param_1	Stack[0x4]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004DBB60_P1	CallableReceiver_004DBB60_P1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=1222
0	004DCE00	FUN_004dce00	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004DCE00_6036DD04	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004DCE00_P0	CallableReceiver_004DCE00_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=1537
0	004DDD50	FUN_004ddd50	0	param_1	ECX:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004DDD50_P0	CallableReceiver_004DDD50_P0	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=1244
0	004DE820	FUN_004de820	0	param_1	ECX:4	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecordView_004DE820_F2971E79	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004DE820_P0	CallableReceiver_004DE820_P0	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=1234
0	004DFC70	FUN_004dfc70	1	param_1	Stack[0x4]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004DFC70_P1	CallableReceiver_004DFC70_P1	review	receiver family is not dense enough for a persistent structural view; slot ABI family is not unanimous; sites=5; slots=1; exact_extent=34
0	004E46F0	FUN_004e46f0	0	param_1	ECX:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004E46F0_P0	CallableReceiver_004E46F0_P0	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=1462
0	004E51B0	FUN_004e51b0	0	param_1	Stack[0x4]:4	pointer:/int	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004E51B0_P0	CallableReceiver_004E51B0_P0	review	receiver family is not dense enough for a persistent structural view; no exact non-vptr receiver extent was recovered; sites=7; slots=1; exact_extent=4
